metric,factor,first_order_variance,total_variance,first_order_ratio
rank,floor,90507392.59754822,25682259821.72957,0.003524121055771369
rank,normalization,5556259728.063181,25682259821.72957,0.2163462158949919
rank,aggregation,2271474924.3526278,25682259821.72957,0.08844529025560087
rank,weights,1257589208.4636881,25682259821.72957,0.04896723330396538
rank,components,5549352280.401279,25682259821.72957,0.21607725795632726
top20_inclusion,floor,0.01837794174382716,12.96924093364201,0.001417040660888261
top20_inclusion,normalization,2.6908453896604936,12.96924093364201,0.20747901927556012
top20_inclusion,aggregation,0.1445452353395062,12.96924093364201,0.011145234796630087
top20_inclusion,weights,0.492391975308642,12.96924093364201,0.037966136786878935
top20_inclusion,components,2.202696277006173,12.96924093364201,0.16984003059827604
