floor,normalization,aggregation,weights,components,repeat,spearman_vs_baseline,top20_overlap
0.01,minmax,geometric,equal,HEVD,0,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,1,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,2,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,3,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,4,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,5,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,6,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,7,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,8,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,9,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,10,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,11,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,12,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,13,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,14,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,15,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,16,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,17,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,18,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,19,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,20,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,21,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,22,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,23,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,24,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,25,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,26,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,27,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,28,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,29,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,30,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,31,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,32,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,33,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,34,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,35,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,36,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,37,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,38,0.9690779463596244,20
0.01,minmax,geometric,equal,HEVD,39,0.9690779463596244,20
0.01,minmax,geometric,equal,HEV,0,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,1,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,2,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,3,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,4,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,5,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,6,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,7,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,8,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,9,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,10,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,11,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,12,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,13,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,14,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,15,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,16,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,17,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,18,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,19,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,20,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,21,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,22,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,23,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,24,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,25,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,26,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,27,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,28,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,29,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,30,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,31,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,32,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,33,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,34,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,35,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,36,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,37,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,38,0.8451229179160523,8
0.01,minmax,geometric,equal,HEV,39,0.8451229179160523,8
0.01,minmax,geometric,entropy,HEVD,0,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,1,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,2,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,3,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,4,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,5,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,6,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,7,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,8,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,9,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,10,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,11,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,12,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,13,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,14,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,15,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,16,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,17,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,18,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,19,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,20,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,21,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,22,0.8007467467755647,9
0.01,minmax,geometric,entropy,HEVD,23,0.8007467467755647,9
