grid_id,baseline_rank,top20_probability,rank_p05,rank_p95,rank_min,rank_max
라라775800,3188,0.010416666666666666,429.0,8460.0,4,9361
라라782800,1949,0.017708333333333333,182.0,8094.649999999996,2,8590
라라783805,2480,0.006597222222222222,647.0,6766.299999999998,19,8399
라라784804,3171,0.0,654.0,8681.05,23,9380
라라784805,2560,0.0,678.0,7191.0,25,8211
라라784806,2484,0.00034722222222222224,779.0,6838.199999999999,28,8825
라라785806,2913,0.0,872.0,7330.049999999999,35,8564
라라786801,2206,0.012152777777777778,344.0,8106.89999999999,10,8605
라라787803,3020,0.0,691.0,8371.099999999999,29,9131
라라789803,2216,0.004166666666666667,442.35000000000025,7403.0,27,8030
라라792877,1910,0.0024305555555555556,357.0,5936.0,31,6813
라라793859,1541,0.024652777777777777,49.0,4882.0,4,5415
라라793861,1551,0.00034722222222222224,108.0,5085.449999999997,8,5641
라라793862,1705,0.007291666666666667,181.75000000000009,5495.9999999999945,17,6051
라라797855,2122,0.008333333333333333,60.0,4705.0,10,5040
라라797867,2010,0.002777777777777778,275.95000000000005,5719.0,23,6676
라라798855,2196,0.014930555555555556,52.0,5204.0,3,5950
라라798856,3526,0.0,709.6500000000001,7929.449999999997,47,8431
라라798867,1901,0.007291666666666667,226.7000000000001,5083.0,13,5890
라라798869,2837,0.0,552.95,5883.15,45,6855
라라798870,2615,0.0006944444444444445,550.0,5203.0,24,7404
라라800874,2295,0.0,312.90000000000003,5695.0,27,6659
라라800875,2075,0.010069444444444445,138.95000000000002,5401.0,15,6002
라라805830,1774,0.010763888888888889,164.0,4679.0,13,5679
라라808829,2089,0.0006944444444444445,342.85,5874.0,35,6744
라라810828,1791,0.0,234.0,5724.0,15,6679
라라810874,2811,0.001388888888888889,281.0,5538.0,26,6557
라라811826,1742,0.0,189.95000000000002,5091.0,11,5920
라라811827,2412,0.0,491.90000000000003,7966.3499999999985,22,8461
라라811828,1709,0.0,179.75000000000009,5470.649999999996,15,6046
라라812826,2063,0.0,388.95000000000005,5911.0,37,6799
라라812827,1148,0.08263888888888889,26.0,4961.0,2,5601
라라812828,1624,0.0010416666666666667,176.95000000000002,5517.699999999996,15,6063
라라816826,1974,0.009375,449.0,6417.799999999996,16,7182
라라817823,2928,0.0,683.0,8203.0,45,9012
라라818782,2502,0.0,331.0,4872.0,32,5821
라라818846,1594,0.007291666666666667,106.0,5408.0,7,6003
라라818847,1376,0.015625,82.0,4780.049999999999,4,5247
라라819842,2746,0.0,663.8000000000001,6247.0,45,7901
라라819861,2094,0.0,290.95000000000005,5114.0,19,6169
라라820842,2743,0.0,663.2000000000003,6223.0,44,7711
라라820843,1914,0.0045138888888888885,275.90000000000003,5238.099999999994,17,6495
라라820858,2065,0.0,151.0,5571.0,9,6583
라라820859,1834,0.013194444444444444,50.0,5285.0,4,5973
라라820861,2236,0.0,290.90000000000003,5537.0,27,6056
라라821859,1710,0.011805555555555555,59.0,4916.0,6,5412
라라821860,2193,0.0,293.0,5697.0,25,6660
라라821863,2576,0.0,518.7500000000001,5965.15,38,7035
라라823844,1785,0.019444444444444445,75.0,5344.0,6,5990
라라824844,2551,0.0,437.0,5977.049999999999,47,6764
라라825783,2898,0.0,596.0,5062.0,46,6525
라라825784,2753,0.0,365.0,5101.0,47,5742
라라826783,2233,0.00034722222222222224,366.0,4560.0,26,6158
라라826823,1696,0.00034722222222222224,194.0,6527.0,3,7381
라라826824,1706,0.0024305555555555556,195.0,6222.0,2,7710
라라827824,1898,0.018055555555555554,113.0,8097.0,1,8758
라라830845,1953,0.0038194444444444443,331.95000000000005,5022.0,12,7006
라라844853,2450,0.0,518.6500000000001,5365.0,48,6488
라라854815,2357,0.001388888888888889,128.0,4240.0,25,4873
라라855784,2379,0.0,120.0,4277.0,37,4745
라라860805,2796,0.001388888888888889,129.0,5093.0,28,5595
라라861792,2880,0.0,419.0,5658.0,45,6626
라라862791,2891,0.0038194444444444443,270.90000000000003,6813.0,13,7971
라라868805,2462,0.0,931.6500000000001,5028.949999999995,44,7561
라라869805,2442,0.0,563.0,4468.0,42,6589
라라874775,1689,0.0,348.0,3938.0,41,5956
라라874776,1328,0.0,217.0,3587.0,34,5350
라라878818,2301,0.0,423.0,4845.0,37,6308
라라891839,2889,0.0,417.0,7103.0,17,7973
라라892839,2468,0.003125,266.0,6180.0,6,7751
라라892840,2312,0.0010416666666666667,236.0,5676.0,8,6617
라라892841,2619,0.0,486.0,5857.0,36,6718
라라893841,2096,0.0006944444444444445,116.0,4778.0,23,5113
라라898829,2057,0.0,153.0,4710.0,42,4891
라라899829,2049,0.0,206.0,4803.0,46,5015
라라900858,2167,0.0,621.6000000000001,5927.499999999997,43,6903
라라901813,1363,0.0,989.85,5076.049999999999,46,8594
라라901863,1584,0.00034722222222222224,361.0,5192.0,22,5690
라라902768,2577,0.008333333333333333,481.0,7559.749999999996,5,8717
라라902863,1846,0.002777777777777778,562.7500000000001,6037.649999999996,21,6940
라라903762,2644,0.007291666666666667,565.0,7840.649999999996,6,9490
라라903767,2667,0.0010416666666666667,521.0,7643.0,6,9083
라라903776,2513,0.0,774.0,6661.0,23,8131
라라903777,2524,0.0,954.0,6661.199999999999,37,8548
라라903800,686,0.00034722222222222224,123.0,4363.0,22,8557
라라904766,4215,0.0,666.0,9682.0,11,9989
라라904775,3061,0.005208333333333333,744.0,7850.0,19,8830
라라904776,3835,0.0,848.0,9072.349999999999,22,9670
라라905764,3078,0.001388888888888889,596.0,8406.0,8,9440
라라906765,3973,0.00625,629.0,9527.0,9,9927
라라909946,1631,0.012847222222222222,118.0,8479.84999999999,7,10047
라라910815,4504,0.0024305555555555556,650.85,5898.499999999992,24,7251
라라910819,5833,0.0,364.7000000000001,8404.0,14,10020
라라910821,6071,0.0,1391.5500000000002,6927.0,33,9034
라라911816,6028,0.0,1345.5000000000002,6910.0,32,9008
라라911817,8245,0.0,1868.0,9411.05,39,10125
라라911819,4545,0.006944444444444444,233.95000000000002,8227.749999999996,9,10081
