grid_id,baseline_rank,baseline_top20_nms,in_robust_core,top20_count,top20_probability
라라775800,3188,0,0,30,0.010416666666666666
라라782800,1949,0,0,51,0.017708333333333333
라라783805,2480,0,0,19,0.006597222222222222
라라784804,3171,0,0,0,0.0
라라784805,2560,0,0,0,0.0
라라784806,2484,0,0,1,0.00034722222222222224
라라785806,2913,0,0,0,0.0
라라786801,2206,0,0,35,0.012152777777777778
라라787803,3020,0,0,0,0.0
라라788858,5364,0,0,0,0.0
라라789803,2216,0,0,12,0.004166666666666667
라라789822,4372,0,0,0,0.0
라라789838,5496,0,0,0,0.0
라라789840,7224,0,0,0,0.0
라라790821,4394,0,0,0,0.0
라라790822,6209,0,0,0,0.0
라라790838,5840,0,0,0,0.0
라라790840,7792,0,0,0,0.0
라라790843,6715,0,0,0,0.0
라라790845,7491,0,0,0,0.0
라라791821,4097,0,0,0,0.0
라라791822,5739,0,0,0,0.0
라라791842,7975,0,0,0,0.0
라라791844,7727,0,0,0,0.0
라라791845,6989,0,0,0,0.0
라라792805,2815,0,0,0,0.0
라라792808,3965,0,0,0,0.0
라라792821,6573,0,0,0,0.0
라라792822,5792,0,0,0,0.0
라라792831,6817,0,0,0,0.0
라라792838,7571,0,0,0,0.0
라라792840,7071,0,0,0,0.0
라라792841,7929,0,0,0,0.0
라라792842,7728,0,0,0,0.0
라라792843,7413,0,0,0,0.0
라라792844,8172,0,0,0,0.0
라라792845,7384,0,0,0,0.0
라라792855,4074,0,0,0,0.0
라라792877,1910,0,0,7,0.0024305555555555556
라라793807,4279,0,0,0,0.0
라라793808,3713,0,0,0,0.0
라라793830,5632,0,0,0,0.0
라라793831,5613,0,0,0,0.0
라라793841,7582,0,0,0,0.0
라라793843,8505,0,0,0,0.0
라라793856,3742,0,0,0,0.0
라라793858,2894,0,0,0,0.0
라라793859,1541,0,0,71,0.024652777777777777
라라793861,1551,0,0,1,0.00034722222222222224
라라793862,1705,0,0,21,0.007291666666666667
라라794805,2778,0,0,0,0.0
라라794809,3857,0,0,0,0.0
라라794810,3975,0,0,0,0.0
라라794811,7076,0,0,0,0.0
라라794832,5969,0,0,0,0.0
라라794833,4233,0,0,0,0.0
