grid_id,cdri,H,order
라마982027,0.5894126495462744,L1,1
마라095835,0.5805442270411993,L1,2
라라912924,0.5737555074293882,L1,3
라라987907,0.5689883723567275,L1,4
라라975917,0.5669473272974995,L1,5
마라096829,0.5654885690645841,L1,6
마라101837,0.5605314454360829,L1,7
마라096912,0.557981596850394,L1,8
마라108851,0.5578562313668495,L1,9
마라110795,0.5526232779684399,L1,10
라마981030,0.5514292387653057,L1,11
마라065835,0.5494267512265439,L1,12
마라087849,0.5490721751208796,L1,13
라라965841,0.5468241139470338,L1,14
마라075856,0.5441205443916795,L1,15
마라067838,0.5427825936528162,L1,16
라라988929,0.542364692337121,L1,17
라마987028,0.5380372568636999,L1,18
라라982902,0.537718947091699,L1,19
라라971874,0.5372221674501995,L1,20
라라912924,0.6015966688635515,z_sensitivity,1
라마982027,0.6001824443177055,z_sensitivity,2
라라975917,0.5749506465341818,z_sensitivity,3
라라987907,0.5702845959261363,z_sensitivity,4
라마981030,0.5652516342168318,z_sensitivity,5
마라095835,0.5556225796467301,z_sensitivity,6
라라988929,0.5544110977803444,z_sensitivity,7
라라933974,0.5536089703137264,z_sensitivity,8
마라096829,0.5446514425369622,z_sensitivity,9
라마987028,0.539366282853222,z_sensitivity,10
마라026906,0.5375739207146288,z_sensitivity,11
라라982902,0.5347648234589819,z_sensitivity,12
마라087849,0.5339994086240301,z_sensitivity,13
라라971874,0.5300639376807259,z_sensitivity,14
라라990923,0.5283559979820502,z_sensitivity,15
라라967875,0.5256693614723605,z_sensitivity,16
라라981948,0.5242929877873278,z_sensitivity,17
마라101837,0.5237682835178956,z_sensitivity,18
라라990918,0.5235886696481233,z_sensitivity,19
라라962896,0.5220801389101848,z_sensitivity,20
라라968876,0.5854090831550239,rf_to2019,1
라라971874,0.5847727561809711,rf_to2019,2
라라982902,0.57964294664272,rf_to2019,3
라라988933,0.5614206053806065,rf_to2019,4
라라990918,0.5545344952371208,rf_to2019,5
라라974900,0.5519610724380646,rf_to2019,6
라라990923,0.528102122759219,rf_to2019,7
라라988929,0.5262634704407093,rf_to2019,8
라라987907,0.5257156467644153,rf_to2019,9
마라083922,0.5219432151326765,rf_to2019,10
라라933972,0.511998152984741,rf_to2019,11
라라968880,0.5083769369759072,rf_to2019,12
라라975897,0.5071014109793264,rf_to2019,13
라라929970,0.4962808472897393,rf_to2019,14
마라095835,0.49486853643350515,rf_to2019,15
라라983905,0.48765161994160433,rf_to2019,16
라라930973,0.48730511238058877,rf_to2019,17
라라987910,0.4863310470798332,rf_to2019,18
마라085905,0.48452567222165743,rf_to2019,19
마라087847,0.48288285381555424,rf_to2019,20
라라968876,0.5844666656077121,rf_frozen,1
라라971874,0.5804804650739825,rf_frozen,2
라라982902,0.5770037661033507,rf_frozen,3
라라988933,0.5572179884168668,rf_frozen,4
라라990918,0.5551380301368424,rf_frozen,5
라라974900,0.5454589859473071,rf_frozen,6
마라083922,0.527922048284787,rf_frozen,7
라라933974,0.5278268147432051,rf_frozen,8
라라990923,0.5263372129157742,rf_frozen,9
라라988929,0.5223188754970214,rf_frozen,10
라라987907,0.5146835332003046,rf_frozen,11
라라968880,0.5087124745314424,rf_frozen,12
라라975897,0.5049919197620484,rf_frozen,13
마라085905,0.4935985958224752,rf_frozen,14
마라095835,0.4922175364172767,rf_frozen,15
라라929970,0.4913846243210713,rf_frozen,16
라라987910,0.489372317839914,rf_frozen,17
마라095839,0.48926370614808956,rf_frozen,18
마라087909,0.4863483166575723,rf_frozen,19
라라983905,0.48537979647016993,rf_frozen,20
