score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,run_id
L1,cell_gate,ALL,ALL,observed-label_auc,0.38693237174000983,0.3647,0.428,107,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
L1,cluster_gate,ALL,ALL,observed-label_auc,0.3952,0.3647,0.428,3,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
L1,cell_gate,ALL,ALL,capture_0.2,0.0,,,107,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,capture_0.2,0.0,,,19,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.7544419303478709,0.6972,0.7887,107,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.7429,0.6972,0.7887,3,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.3178,,,107,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,capture_0.2,0.2381150850002445,,,19,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,observed-label_auc,0.43802212689094605,0.438,0.438,107,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cluster_gate,ALL,ALL,observed-label_auc,0.438,0.438,0.438,3,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
city_flood_map,cell_gate,ALL,ALL,capture_0.2,0.0,,,107,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
city_flood_map,object,ALL,ALL,capture_0.2,0.0,,,19,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
L1,object,ALL,ALL,observed-label_auc,0.369319488208016,0.3309815304664778,0.4068226318512331,19,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
z_sensitivity,object,ALL,ALL,observed-label_auc,0.7339420037034096,0.6965492932521357,0.7678549523942265,19,2006,development,2006,19,walkforward_20260926T135215Z_3d14fc1
