score,stratum,unit,metric,role_group,median,n_events,n_pass_gate
L1,AGRI,cell_gate,capture_0.2,all,0.0468,5,0
L1,AGRI,cell_gate,capture_0.2,development,0.075,4,0
L1,AGRI,cell_gate,capture_0.2,holdout,0.0468,1,0
L1,AGRI,cell_gate,observed-label_auc,all,0.2991,5,1
L1,AGRI,cell_gate,observed-label_auc,development,0.4615,4,1
L1,AGRI,cell_gate,observed-label_auc,holdout,0.2991,1,0
L1,AGRI,object,observed-label_auc,all,0.5477,5,2
L1,AGRI,object,observed-label_auc,development,0.4693,4,2
L1,AGRI,object,observed-label_auc,holdout,0.5477,1,0
L1,ALL,cell_gate,capture_0.2,all,0.5254,8,4
L1,ALL,cell_gate,capture_0.2,development,0.5254,6,3
L1,ALL,cell_gate,capture_0.2,holdout,0.4224,2,1
L1,ALL,cell_gate,observed-label_auc,all,0.7877,8,5
L1,ALL,cell_gate,observed-label_auc,development,0.7877,6,4
L1,ALL,cell_gate,observed-label_auc,holdout,0.6476,2,1
L1,ALL,object,observed-label_auc,all,0.7949,10,7
L1,ALL,object,observed-label_auc,development,0.7952,6,4
L1,ALL,object,observed-label_auc,holdout,0.7549,4,3
L1,FLAT,cell_gate,capture_0.2,all,0.2921,8,3
L1,FLAT,cell_gate,capture_0.2,development,0.2921,6,2
L1,FLAT,cell_gate,capture_0.2,holdout,0.3656,2,1
L1,FLAT,cell_gate,observed-label_auc,all,0.6225,8,3
L1,FLAT,cell_gate,observed-label_auc,development,0.6225,6,2
L1,FLAT,cell_gate,observed-label_auc,holdout,0.477,2,1
L1,FLAT,object,observed-label_auc,all,0.6344,10,3
L1,FLAT,object,observed-label_auc,development,0.6344,6,2
L1,FLAT,object,observed-label_auc,holdout,0.5907,4,1
L1,UNIVERSE,cell_gate,capture_0.2,all,0.4242,7,3
L1,UNIVERSE,cell_gate,capture_0.2,development,0.4242,5,2
L1,UNIVERSE,cell_gate,capture_0.2,holdout,0.4001,2,1
L1,UNIVERSE,cell_gate,observed-label_auc,all,0.7411,7,4
L1,UNIVERSE,cell_gate,observed-label_auc,development,0.7411,5,3
L1,UNIVERSE,cell_gate,observed-label_auc,holdout,0.5152,2,1
L1,UNIVERSE,object,observed-label_auc,all,0.5575,10,3
L1,UNIVERSE,object,observed-label_auc,development,0.5546,6,2
L1,UNIVERSE,object,observed-label_auc,holdout,0.5993,4,1
L1,URBAN,cell_gate,capture_0.2,all,0.2561,6,1
L1,URBAN,cell_gate,capture_0.2,development,0.2561,4,0
L1,URBAN,cell_gate,capture_0.2,holdout,0.3857,2,1
L1,URBAN,cell_gate,observed-label_auc,all,0.6318,6,2
L1,URBAN,cell_gate,observed-label_auc,development,0.6318,4,1
L1,URBAN,cell_gate,observed-label_auc,holdout,0.6204,2,1
L1,URBAN,object,observed-label_auc,all,0.5539,9,0
L1,URBAN,object,observed-label_auc,development,0.4872,5,0
L1,URBAN,object,observed-label_auc,holdout,0.5639,4,0
