score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,run_id
slope_neg,cell_gate,ALL,ALL,observed-label_auc,0.898343431163811,0.8397,0.9326,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cluster_gate,ALL,ALL,observed-label_auc,0.8878,0.8397,0.9326,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,cell_gate,ALL,ALL,capture_0.2,0.8692,,,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,ALL,ALL,capture_0.2,0.7579637844915906,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,ALL,ALL,observed-label_auc,0.5007989349024142,0.4636,0.6469,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cluster_gate,ALL,ALL,observed-label_auc,0.5451,0.4636,0.6469,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,cell_gate,ALL,ALL,capture_0.2,0.0,,,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,ALL,ALL,capture_0.2,9.300944101684397e-07,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,ALL,ALL,observed-label_auc,0.8739509984110673,0.8032,0.9274,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cluster_gate,ALL,ALL,observed-label_auc,0.8786,0.8032,0.9274,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,cell_gate,ALL,ALL,capture_0.2,0.8131,,,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
twi,object,ALL,ALL,capture_0.2,0.6716284475497437,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,ALL,ALL,observed-label_auc,0.47672140898528376,0.4107,0.6344,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cluster_gate,ALL,ALL,observed-label_auc,0.5312,0.4107,0.6344,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,cell_gate,ALL,ALL,capture_0.2,0.1121,,,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
impervious,object,ALL,ALL,capture_0.2,0.11086671223334381,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,ALL,ALL,observed-label_auc,0.9268187297201922,0.8872,0.9469,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cluster_gate,ALL,ALL,observed-label_auc,0.9122,0.8872,0.9469,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,cell_gate,ALL,ALL,capture_0.2,0.972,,,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_neg,object,ALL,ALL,capture_0.2,0.8817823226071612,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,ALL,ALL,observed-label_auc,0.9348709483983506,0.904,0.9499,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cluster_gate,ALL,ALL,observed-label_auc,0.9346,0.904,0.9499,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,cell_gate,ALL,ALL,capture_0.2,0.972,,,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
hand_acc_neg,object,ALL,ALL,capture_0.2,0.8817823226071612,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,ALL,ALL,observed-label_auc,0.38693237174000983,0.3647,0.428,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cluster_gate,ALL,ALL,observed-label_auc,0.3952,0.3647,0.428,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,cell_gate,ALL,ALL,capture_0.2,0.0,,,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
L1,object,ALL,ALL,capture_0.2,0.0,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cell_gate,ALL,ALL,observed-label_auc,0.7544419303478709,0.6972,0.7887,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cluster_gate,ALL,ALL,observed-label_auc,0.7429,0.6972,0.7887,3,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,cell_gate,ALL,ALL,capture_0.2,0.3178,,,107,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
z_sensitivity,object,ALL,ALL,capture_0.2,0.2381150850002445,,,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
slope_neg,object,ALL,ALL,observed-label_auc,0.885185228535842,0.8552468977782757,0.9169236063529798,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
relelev_neg,object,ALL,ALL,observed-label_auc,0.496765423322278,0.46911146370645046,0.5227288463377161,19,2006,development,2006,19,[],m1_20260926T160821Z_a181f6c
