score,unit,stratum,test_event,role,auc,ci_lo,ci_hi,n_units,n_pos_cells,n_clusters,included,reason,y,se,run_id
slope_neg,cell_gate,ALL,2006,development,0.898343431163811,0.8397,0.9326,107,107,3,True,,2.1789522751557087,0.2477937728814675,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,ALL,2006,development,0.8878,0.8397,0.9326,3,107,3,True,,2.0684634993113393,0.2477937728814675,m2_20260926T165115Z_1ffdde7
relelev_neg,cell_gate,ALL,2006,development,0.5007989349024142,0.4636,0.6469,107,107,3,True,,0.003195742329435647,0.1916612922440597,m2_20260926T165115Z_1ffdde7
relelev_neg,cluster_gate,ALL,2006,development,0.5451,0.4636,0.6469,3,107,3,True,,0.18089164949427694,0.1916612922440597,m2_20260926T165115Z_1ffdde7
twi,cell_gate,ALL,2006,development,0.8739509984110673,0.8032,0.9274,107,107,3,True,,1.9363535753442005,0.2910778705137938,m2_20260926T165115Z_1ffdde7
twi,cluster_gate,ALL,2006,development,0.8786,0.8032,0.9274,3,107,3,True,,1.9792388529162817,0.2910778705137938,m2_20260926T165115Z_1ffdde7
impervious,cell_gate,ALL,2006,development,0.4767214089852837,0.4107,0.6344,107,107,3,True,,-0.09318172902951549,0.23271147041920448,m2_20260926T165115Z_1ffdde7
impervious,cluster_gate,ALL,2006,development,0.5312,0.4107,0.6344,3,107,3,True,,0.12496235989942128,0.23271147041920448,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,ALL,2006,development,0.9268187297201922,0.8872,0.9469,107,107,3,True,,2.5388184836421166,0.20882079268447729,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,ALL,2006,development,0.9122,0.8872,0.9469,3,107,3,True,,2.3407977636365294,0.20882079268447729,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cell_gate,ALL,2006,development,0.9348709483983506,0.904,0.9499,107,107,3,True,,2.664037785827579,0.17853760181343634,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cluster_gate,ALL,2006,development,0.9346,0.904,0.9499,3,107,3,True,,2.6595963718031728,0.17853760181343634,m2_20260926T165115Z_1ffdde7
L1,cell_gate,ALL,2006,development,0.3869323717400098,0.3647,0.428,107,107,3,True,,-0.4602253255433863,0.06760492456754019,m2_20260926T165115Z_1ffdde7
L1,cluster_gate,ALL,2006,development,0.3952,0.3647,0.428,3,107,3,True,,-0.42550585899161053,0.06760492456754019,m2_20260926T165115Z_1ffdde7
z_sensitivity,cell_gate,ALL,2006,development,0.7544419303478709,0.6972,0.7887,107,107,3,True,,1.1224448553041473,0.12324392374299997,m2_20260926T165115Z_1ffdde7
z_sensitivity,cluster_gate,ALL,2006,development,0.7429,0.6972,0.7887,3,107,3,True,,1.0610963318859166,0.12324392374299997,m2_20260926T165115Z_1ffdde7
slope_neg,object,ALL,2006,development,0.885185228535842,0.8552468977782757,0.9169236063529798,19,107,3,True,,2.0424767739902165,0.15941694001545517,m2_20260926T165115Z_1ffdde7
relelev_neg,object,ALL,2006,development,0.496765423322278,0.4691114637064504,0.5227288463377161,19,107,3,True,,-0.012938487204562144,0.0547688046991375,m2_20260926T165115Z_1ffdde7
twi,object,ALL,2006,development,0.8422664708504762,0.7938833440443553,0.8914412630169934,19,107,3,True,,1.6751893529956592,0.19312955373509616,m2_20260926T165115Z_1ffdde7
impervious,object,ALL,2006,development,0.5081832871054498,0.4441353612287521,0.5751161267012271,19,107,3,True,,0.03273607157717462,0.1344798979254894,m2_20260926T165115Z_1ffdde7
hand_neg,object,ALL,2006,development,0.9169905877075856,0.8944323376634721,0.9373090106971952,19,107,3,True,,2.4021432055002663,0.1448899399843102,m2_20260926T165115Z_1ffdde7
hand_acc_neg,object,ALL,2006,development,0.9213673295683816,0.8962631928132349,0.9433070748260624,19,107,3,True,,2.4610715270702457,0.16718810242496324,m2_20260926T165115Z_1ffdde7
L1,object,ALL,2006,development,0.369319488208016,0.3309815304664778,0.4068226318512331,19,107,3,True,,-0.5351373227262128,0.08332625866042483,m2_20260926T165115Z_1ffdde7
z_sensitivity,object,ALL,2006,development,0.7339420037034096,0.6965492932521357,0.7678549523942265,19,107,3,True,,1.0147156952581473,0.09319535726883621,m2_20260926T165115Z_1ffdde7
slope_neg,cell_gate,FLAT,2006,development,0.678595103554585,0.5039,0.7777,105,105,3,True,,0.7473229488863136,0.3154937330752578,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,FLAT,2006,development,0.6407,0.5039,0.7777,3,105,3,True,,0.578403634525503,0.3154937330752578,m2_20260926T165115Z_1ffdde7
relelev_neg,cell_gate,FLAT,2006,development,0.4430021130183205,0.3605,0.7117,105,105,3,True,,-0.228986906523584,0.3767542530383118,m2_20260926T165115Z_1ffdde7
relelev_neg,cluster_gate,FLAT,2006,development,0.5296,0.3605,0.7117,3,105,3,True,,0.11853860803838112,0.3767542530383118,m2_20260926T165115Z_1ffdde7
twi,cell_gate,FLAT,2006,development,0.6505856168741095,0.5037,0.7715,105,105,3,True,,0.6216143442487634,0.3066383364163756,m2_20260926T165115Z_1ffdde7
twi,cluster_gate,FLAT,2006,development,0.6615,0.5037,0.7715,3,105,3,True,,0.6699858912026805,0.3066383364163756,m2_20260926T165115Z_1ffdde7
impervious,cell_gate,FLAT,2006,development,0.297169848709557,0.2536,0.4303,105,105,3,True,,-0.8608114005401556,0.20379868370788967,m2_20260926T165115Z_1ffdde7
impervious,cluster_gate,FLAT,2006,development,0.3409,0.2536,0.4303,3,105,3,True,,-0.6592860889148168,0.20379868370788967,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,FLAT,2006,development,0.815971331368414,0.7086,0.8651,105,105,3,True,,1.489287667967408,0.24738134296123684,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,FLAT,2006,development,0.7767,0.7086,0.8651,3,105,3,True,,1.2465380165794893,0.24738134296123684,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cell_gate,FLAT,2006,development,0.810777227795056,0.7277,0.8489,105,105,3,True,,1.4550683182232285,0.1895481382955782,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cluster_gate,FLAT,2006,development,0.8085,0.7277,0.8489,3,105,3,True,,1.4402928703964608,0.1895481382955782,m2_20260926T165115Z_1ffdde7
L1,cell_gate,FLAT,2006,development,0.1636147840361778,0.1472,0.1976,105,105,3,True,,-1.6315745045466774,0.09065737906052417,m2_20260926T165115Z_1ffdde7
L1,cluster_gate,FLAT,2006,development,0.1705,0.1472,0.1976,3,105,3,True,,-1.5820878129069276,0.09065737906052417,m2_20260926T165115Z_1ffdde7
z_sensitivity,cell_gate,FLAT,2006,development,0.3926972584995275,0.2888,0.4524,105,105,3,True,,-0.43598843673519727,0.18118723956434532,m2_20260926T165115Z_1ffdde7
z_sensitivity,cluster_gate,FLAT,2006,development,0.3688,0.2888,0.4524,3,105,3,True,,-0.5373682778492257,0.18118723956434532,m2_20260926T165115Z_1ffdde7
slope_neg,object,FLAT,2006,development,0.6107649231404799,0.5153409269348502,0.7104085218518609,19,105,3,True,,0.4505286721729856,0.21326564829485753,m2_20260926T165115Z_1ffdde7
relelev_neg,object,FLAT,2006,development,0.4354354117906751,0.3739062834523379,0.4889355101947503,19,105,3,True,,-0.25970831659220117,0.1202138656502587,m2_20260926T165115Z_1ffdde7
twi,object,FLAT,2006,development,0.5795642136568371,0.4781839916720903,0.6748498477440964,19,105,3,True,,0.32098470547927016,0.2085555181745936,m2_20260926T165115Z_1ffdde7
impervious,object,FLAT,2006,development,0.3014231100161875,0.2635155625749163,0.3403427744817928,19,105,3,True,,-0.8405302925348337,0.09337125733965775,m2_20260926T165115Z_1ffdde7
hand_neg,object,FLAT,2006,development,0.7817315740724012,0.7199396887751711,0.8367806657794837,19,105,3,True,,1.275785809016552,0.17610135258449294,m2_20260926T165115Z_1ffdde7
hand_acc_neg,object,FLAT,2006,development,0.7585985768678025,0.6878396827270657,0.8232412125913582,19,105,3,True,,1.1450115492807582,0.1909280820166919,m2_20260926T165115Z_1ffdde7
L1,object,FLAT,2006,development,0.1283641725887806,0.0988198058553594,0.15824432334214,19,105,3,True,,-1.9155003849246366,0.13751721297162453,m2_20260926T165115Z_1ffdde7
z_sensitivity,object,FLAT,2006,development,0.3241855993582994,0.2574460744276102,0.3863532334519803,19,105,3,True,,-0.734602293772851,0.15220121927298183,m2_20260926T165115Z_1ffdde7
slope_neg,cell_gate,URBAN,2006,development,0.3947178376147735,0.1498,0.6396,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
slope_neg,cluster_gate,URBAN,2006,development,0.3947,0.1498,0.6396,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
relelev_neg,cell_gate,URBAN,2006,development,0.4372743216754359,0.079,0.7955,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
relelev_neg,cluster_gate,URBAN,2006,development,0.4373,0.079,0.7955,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
twi,cell_gate,URBAN,2006,development,0.5411637264004951,0.1152,0.9671,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
twi,cluster_gate,URBAN,2006,development,0.5412,0.1152,0.9671,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
impervious,cell_gate,URBAN,2006,development,0.3828278138863097,0.3716,0.394,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
impervious,cluster_gate,URBAN,2006,development,0.3828,0.3716,0.394,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,URBAN,2006,development,0.6782213968843496,0.47,0.8864,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
hand_neg,cluster_gate,URBAN,2006,development,0.6782,0.47,0.8864,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cell_gate,URBAN,2006,development,0.6862942329516145,0.4332,0.9394,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cluster_gate,URBAN,2006,development,0.6863,0.4332,0.9394,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
L1,cell_gate,URBAN,2006,development,0.0691736304549675,0.0159,0.1225,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
L1,cluster_gate,URBAN,2006,development,0.0692,0.0159,0.1225,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
z_sensitivity,cell_gate,URBAN,2006,development,0.2248014030743835,0.0468,0.4028,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
z_sensitivity,cluster_gate,URBAN,2006,development,0.2248,0.0468,0.4028,2,2,2,False,positive_cells_lt_5,,,m2_20260926T165115Z_1ffdde7
slope_neg,object,URBAN,2006,development,0.3613016355792806,0.223590593091462,0.5073019149002204,7,2,2,True,,-0.56971913469814,0.32502460337143946,m2_20260926T165115Z_1ffdde7
relelev_neg,object,URBAN,2006,development,0.2975543899941032,0.1238493529064895,0.4994879116104403,7,2,2,True,,-0.8589709429463042,0.4985866520393727,m2_20260926T165115Z_1ffdde7
