test_event,score,auc_recomputed,ci_lo_recomputed,ci_hi_recomputed,n_clusters,n_pos_cells,se_draw,n_nonfinite_draws,auc,ci_lo,ci_hi,se,included,se_ci,se_ratio,abs_diff_auc,abs_diff_ci,run_id
2006,slope_neg,0.898343431163811,0.8397,0.9326,3,107,0.301817696360365,0,0.898343431163811,0.8397,0.9326,0.2477937728814675,True,0.2477937728814675,1.218019697794181,0.0,0.0,m2_20260926T165115Z_1ffdde7
2006,relelev_neg,0.5007989349024142,0.4636,0.6469,3,107,0.15755576169429042,0,0.5007989349024142,0.4636,0.6469,0.1916612922440597,True,0.1916612922440597,0.8220531117658353,0.0,0.0,m2_20260926T165115Z_1ffdde7
2006,twi,0.8739509984110673,0.8032,0.9274,3,107,0.2964018251941948,0,0.8739509984110673,0.8032,0.9274,0.2910778705137938,True,0.2910778705137938,1.0182904824437649,0.0,0.0,m2_20260926T165115Z_1ffdde7
2006,impervious,0.47672140898528376,0.4107,0.6344,3,107,0.23193636935749568,0,0.4767214089852837,0.4107,0.6344,0.23271147041920448,True,0.23271147041920448,0.9966692614665167,5.551115123125783e-17,0.0,m2_20260926T165115Z_1ffdde7
2006,hand_neg,0.9268187297201922,0.8872,0.9469,3,107,0.22981834231392262,0,0.9268187297201922,0.8872,0.9469,0.20882079268447729,True,0.20882079268447729,1.1005529639051417,0.0,0.0,m2_20260926T165115Z_1ffdde7
2006,hand_acc_neg,0.9348709483983506,0.904,0.9499,3,107,0.22702321881199125,0,0.9348709483983506,0.904,0.9499,0.17853760181343634,True,0.17853760181343634,1.2715708988251124,0.0,0.0,m2_20260926T165115Z_1ffdde7
2006,L1,0.38693237174000983,0.3647,0.428,3,107,0.050237920852474756,0,0.3869323717400098,0.3647,0.428,0.06760492456754019,True,0.06760492456754019,0.7431103750775573,5.551115123125783e-17,0.0,m2_20260926T165115Z_1ffdde7
2006,z_sensitivity,0.7544419303478709,0.6972,0.7887,3,107,0.15127825228151717,0,0.7544419303478709,0.6972,0.7887,0.12324392374299997,True,0.12324392374299997,1.227470269422589,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,slope_neg,0.8717151957228564,0.7418,0.9193,14,206,0.29111816383361555,0,0.8717151957228564,0.7418,0.9193,0.35141685250765536,True,0.35141685250765536,0.8284126437199643,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,relelev_neg,0.5869208605003859,0.5067,0.6899,14,206,0.20269807195453388,0,0.5869208605003859,0.5067,0.6899,0.19715929356346132,True,0.19715929356346132,1.0280929105139534,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,twi,0.8222134667323953,0.7443,0.8764,14,206,0.2177745588873519,0,0.8222134667323953,0.7443,0.8764,0.22712987908242915,True,0.22712987908242915,0.9588107023484918,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,impervious,0.8079026200448238,0.681,0.9297,14,206,0.5137681845970015,0,0.8079026200448238,0.681,0.9297,0.4652429752959204,True,0.4652429752959204,1.1043007887872274,0.0,0.0,m2_20260926T165115Z_1ffdde7
2012,hand_neg,0.8578793017207786,0.8315,0.8704,14,206,0.07877552508967811,0,0.8578793017207786,0.8315,0.8704,0.07862505274944229,True,0.07862505274944229,1.001913796366094,0.0,0.0,m2_20260926T165115Z_1ffdde7
