score,unit,stratum,test_event,auc,k_dev,auc_pi_lo,auc_pi_hi,inside_dev_pi,side,run_id
slope_neg,object,ALL,2022-09-06,0.7721715443495709,6,0.48904150912377814,0.9782550561703041,True,inside,m2_20260926T165115Z_1ffdde7
relelev_neg,object,ALL,2022-09-06,0.6073803433639534,6,0.27168408602293065,0.8189230432647362,True,inside,m2_20260926T165115Z_1ffdde7
twi,object,ALL,2022-09-06,0.8084368483777922,6,0.5171104339262539,0.9503668168927646,True,inside,m2_20260926T165115Z_1ffdde7
impervious,object,ALL,2022-09-06,0.9243434585163044,6,0.07444859696361217,0.9932752433209199,True,inside,m2_20260926T165115Z_1ffdde7
hand_neg,object,ALL,2022-09-06,0.7175638119859091,6,0.6519274848759647,0.9616547615799107,True,inside,m2_20260926T165115Z_1ffdde7
hand_acc_neg,object,ALL,2022-09-06,0.7377906092477954,6,0.6884191253194,0.9611690863478339,True,inside,m2_20260926T165115Z_1ffdde7
L1,object,ALL,2022-09-06,0.9153128672505148,6,0.05440091380326026,0.9924324884911747,True,inside,m2_20260926T165115Z_1ffdde7
z_sensitivity,object,ALL,2022-09-06,0.8890136346808595,6,0.3394497561352404,0.98420443098338,True,inside,m2_20260926T165115Z_1ffdde7
rf_F1_wf,object,ALL,2022-09-06,0.8606011672691304,5,0.43273275321921634,0.9754727412237331,True,inside,m2_20260926T165115Z_1ffdde7
logit_F1_wf,object,ALL,2022-09-06,0.8630710982543647,5,0.20679650765854857,0.9853461041800208,True,inside,m2_20260926T165115Z_1ffdde7
slope_neg,cell_gate,ALL,2023-08-10,0.8308437911791497,6,0.6449583934787229,0.9765687861646812,True,inside,m2_20260926T165115Z_1ffdde7
relelev_neg,cell_gate,ALL,2023-08-10,0.5486846255663745,6,0.3020111405073351,0.734925268143515,True,inside,m2_20260926T165115Z_1ffdde7
twi,cell_gate,ALL,2023-08-10,0.8404467320521551,6,0.6626442009778454,0.9468440111693038,True,inside,m2_20260926T165115Z_1ffdde7
impervious,cell_gate,ALL,2023-08-10,0.9183521559818288,6,0.047530586387047345,0.995065679342357,True,inside,m2_20260926T165115Z_1ffdde7
hand_neg,cell_gate,ALL,2023-08-10,0.7486535247141227,6,0.7643477894154738,0.9474726546370391,False,below,m2_20260926T165115Z_1ffdde7
hand_acc_neg,cell_gate,ALL,2023-08-10,0.7679835887730345,6,0.7584033107985002,0.9583825350495252,True,inside,m2_20260926T165115Z_1ffdde7
L1,cell_gate,ALL,2023-08-10,0.8637141492664031,6,0.0355378884869018,0.9963992268032762,True,inside,m2_20260926T165115Z_1ffdde7
z_sensitivity,cell_gate,ALL,2023-08-10,0.8925775089249128,6,0.28512768359145724,0.9922714204981842,True,inside,m2_20260926T165115Z_1ffdde7
rf_F1_wf,cell_gate,ALL,2023-08-10,0.8918961644247522,5,0.507488642155946,0.9796900260219754,True,inside,m2_20260926T165115Z_1ffdde7
logit_F1_wf,cell_gate,ALL,2023-08-10,0.869047724331479,5,0.18834333464618785,0.9924253327981178,True,inside,m2_20260926T165115Z_1ffdde7
slope_neg,object,ALL,2023-08-10,0.8516470605020993,6,0.48904150912377814,0.9782550561703041,True,inside,m2_20260926T165115Z_1ffdde7
relelev_neg,object,ALL,2023-08-10,0.5660505274682572,6,0.27168408602293065,0.8189230432647362,True,inside,m2_20260926T165115Z_1ffdde7
twi,object,ALL,2023-08-10,0.8366713856124542,6,0.5171104339262539,0.9503668168927646,True,inside,m2_20260926T165115Z_1ffdde7
impervious,object,ALL,2023-08-10,0.8650845073620824,6,0.07444859696361217,0.9932752433209199,True,inside,m2_20260926T165115Z_1ffdde7
hand_neg,object,ALL,2023-08-10,0.7956796703644423,6,0.6519274848759647,0.9616547615799107,True,inside,m2_20260926T165115Z_1ffdde7
hand_acc_neg,object,ALL,2023-08-10,0.8206152365701943,6,0.6884191253194,0.9611690863478339,True,inside,m2_20260926T165115Z_1ffdde7
L1,object,ALL,2023-08-10,0.8025215799183868,6,0.05440091380326026,0.9924324884911747,True,inside,m2_20260926T165115Z_1ffdde7
z_sensitivity,object,ALL,2023-08-10,0.872605441997338,6,0.3394497561352404,0.98420443098338,True,inside,m2_20260926T165115Z_1ffdde7
rf_F1_wf,object,ALL,2023-08-10,0.8956295902796229,5,0.43273275321921634,0.9754727412237331,True,inside,m2_20260926T165115Z_1ffdde7
