score,stratum,unit,metric,role_group,median,n_events,n_pass_gate
nested_all,AGRI,cell_gate,capture_0.2,all,0.1754,3,0
nested_all,AGRI,cell_gate,capture_0.2,development,0.2589,2,0
nested_all,AGRI,cell_gate,capture_0.2,holdout,0.1754,1,0
nested_all,AGRI,cell_gate,observed-label_auc,all,0.5525,3,0
nested_all,AGRI,cell_gate,observed-label_auc,development,0.5954,2,0
nested_all,AGRI,cell_gate,observed-label_auc,holdout,0.5484,1,0
nested_all,AGRI,object,observed-label_auc,all,0.5506,3,0
nested_all,AGRI,object,observed-label_auc,development,0.5396,2,0
nested_all,AGRI,object,observed-label_auc,holdout,0.6472,1,0
nested_all,ALL,cell_gate,capture_0.2,all,0.7197,6,6
nested_all,ALL,cell_gate,capture_0.2,development,0.7442,4,4
nested_all,ALL,cell_gate,capture_0.2,holdout,0.681,2,2
nested_all,ALL,cell_gate,observed-label_auc,all,0.8411,6,6
nested_all,ALL,cell_gate,observed-label_auc,development,0.8621,4,4
nested_all,ALL,cell_gate,observed-label_auc,holdout,0.8378,2,2
nested_all,ALL,object,observed-label_auc,all,0.8458,8,8
nested_all,ALL,object,observed-label_auc,development,0.8574,4,4
nested_all,ALL,object,observed-label_auc,holdout,0.8458,4,4
nested_all,FLAT,cell_gate,capture_0.2,all,0.2513,6,2
nested_all,FLAT,cell_gate,capture_0.2,development,0.4356,4,2
nested_all,FLAT,cell_gate,capture_0.2,holdout,0.1498,2,0
nested_all,FLAT,cell_gate,observed-label_auc,all,0.5825,6,2
nested_all,FLAT,cell_gate,observed-label_auc,development,0.6779,4,2
nested_all,FLAT,cell_gate,observed-label_auc,holdout,0.5076,2,0
nested_all,FLAT,object,observed-label_auc,all,0.5711,8,2
nested_all,FLAT,object,observed-label_auc,development,0.5802,4,2
nested_all,FLAT,object,observed-label_auc,holdout,0.5711,4,0
nested_all,UNIVERSE,cell_gate,capture_0.2,all,0.4545,5,2
nested_all,UNIVERSE,cell_gate,capture_0.2,development,0.7955,3,2
nested_all,UNIVERSE,cell_gate,capture_0.2,holdout,0.2898,2,0
nested_all,UNIVERSE,cell_gate,observed-label_auc,all,0.7322,5,3
nested_all,UNIVERSE,cell_gate,observed-label_auc,development,0.8486,3,2
nested_all,UNIVERSE,cell_gate,observed-label_auc,holdout,0.5917,2,1
nested_all,UNIVERSE,object,observed-label_auc,all,0.6786,8,4
nested_all,UNIVERSE,object,observed-label_auc,development,0.6426,4,2
