score,unit,stratum,storm,metric,value,ci_lo,ci_hi,n_units,test_event,role,year,n_polygons,train_events,nested_status,run_id
slope_neg,cell_gate,ALL,ALL,observed-label_auc,0.898343431163811,0.8397,0.9326,107,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,ALL,ALL,observed-label_auc,0.8878,0.8397,0.9326,3,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,ALL,ALL,capture_0.2,0.8692,,,107,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,ALL,ALL,capture_0.2,0.7579637844915906,,,19,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,ALL,ALL,observed-label_auc,0.8851852285358418,0.8552468977782755,0.9169236063529796,19,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,FLAT,ALL,observed-label_auc,0.678595103554585,0.5039,0.7777,105,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,FLAT,ALL,observed-label_auc,0.6407,0.5039,0.7777,3,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,FLAT,ALL,capture_0.2,0.3429,,,105,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,FLAT,ALL,capture_0.2,0.24001671897237797,,,19,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,FLAT,ALL,observed-label_auc,0.6107649231404799,0.5153409269348501,0.710408521851861,19,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,URBAN,ALL,observed-label_auc,0.3947178376147735,0.1498,0.6396,2,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cluster_gate,URBAN,ALL,observed-label_auc,0.3947,0.1498,0.6396,2,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,cell_gate,URBAN,ALL,capture_0.2,0.0,,,2,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
slope_neg,object,URBAN,ALL,capture_0.2,0.0,,,7,2006,development,2006,19,[],학습 불가,m3_20260926T164916Z_f383cb3
