test_event,role,rule,size_m,n_pos_cells,n_clusters,n_polygons,train_events
2006,development,any,100,126,3,19,[]
2006,development,f01,100,114,3,19,[]
2006,development,f10,100,107,3,19,[]
2006,development,f25,100,94,3,19,[]
2006,development,f50,100,80,3,19,[]
2006,development,center,100,77,4,19,[]
2006,development,rep_point,100,18,10,19,[]
2006,development,soft,100,126,3,19,[]
2006,development,any,200,46,3,19,[]
2006,development,f01,200,41,3,19,[]
2006,development,f10,200,36,3,19,[]
2006,development,f25,200,25,3,19,[]
2006,development,f50,200,16,2,19,[]
2006,development,center,200,19,3,19,[]
2006,development,rep_point,200,14,3,19,[]
2006,development,soft,200,46,3,19,[]
2006,development,any,500,14,3,19,[]
2006,development,f01,500,11,3,19,[]
2006,development,f10,500,6,3,19,[]
2006,development,f25,500,5,2,19,[]
2006,development,f50,500,3,2,19,[]
2006,development,center,500,5,2,19,[]
2006,development,rep_point,500,7,3,19,[]
2006,development,soft,500,14,3,19,[]
2006,development,any,1000,9,3,19,[]
2006,development,f01,1000,7,3,19,[]
2006,development,f10,1000,4,2,19,[]
2006,development,f25,1000,1,1,19,[]
2006,development,f50,1000,0,0,19,[]
2006,development,center,1000,1,1,19,[]
2006,development,rep_point,1000,6,3,19,[]
2006,development,soft,1000,9,3,19,[]
2012,development,any,100,265,13,31,[2006]
2012,development,f01,100,249,13,31,[2006]
2012,development,f10,100,206,14,31,[2006]
2012,development,f25,100,171,9,31,[2006]
2012,development,f50,100,144,6,31,[2006]
2012,development,center,100,148,10,31,[2006]
2012,development,rep_point,100,27,19,31,[2006]
2012,development,soft,100,265,13,31,[2006]
2012,development,any,200,102,12,31,[2006]
2012,development,f01,200,93,12,31,[2006]
2012,development,f10,200,65,10,31,[2006]
2012,development,f25,200,50,6,31,[2006]
2012,development,f50,200,37,4,31,[2006]
2012,development,center,200,40,9,31,[2006]
2012,development,rep_point,200,23,15,31,[2006]
2012,development,soft,200,102,12,31,[2006]
2012,development,any,500,39,8,31,[2006]
2012,development,f01,500,33,9,31,[2006]
2012,development,f10,500,19,5,31,[2006]
2012,development,f25,500,12,3,31,[2006]
2012,development,f50,500,4,4,31,[2006]
2012,development,center,500,7,3,31,[2006]
2012,development,rep_point,500,19,8,31,[2006]
2012,development,soft,500,39,8,31,[2006]
2012,development,any,1000,21,7,31,[2006]
2012,development,f01,1000,14,6,31,[2006]
2012,development,f10,1000,8,4,31,[2006]
2012,development,f25,1000,3,2,31,[2006]
2012,development,f50,1000,0,0,31,[2006]
2012,development,center,1000,1,1,31,[2006]
2012,development,rep_point,1000,14,8,31,[2006]
2012,development,soft,1000,21,7,31,[2006]
2014,development,any,100,199,10,47,"[2006, 2012]"
2014,development,f01,100,182,10,47,"[2006, 2012]"
2014,development,f10,100,132,13,47,"[2006, 2012]"
2014,development,f25,100,106,14,47,"[2006, 2012]"
2014,development,f50,100,71,9,47,"[2006, 2012]"
2014,development,center,100,81,14,47,"[2006, 2012]"
2014,development,rep_point,100,41,20,47,"[2006, 2012]"
2014,development,soft,100,199,10,47,"[2006, 2012]"
2014,development,any,200,85,10,47,"[2006, 2012]"
2014,development,f01,200,73,10,47,"[2006, 2012]"
2014,development,f10,200,41,9,47,"[2006, 2012]"
2014,development,f25,200,30,8,47,"[2006, 2012]"
2014,development,f50,200,14,4,47,"[2006, 2012]"
2014,development,center,200,20,8,47,"[2006, 2012]"
2014,development,rep_point,200,34,12,47,"[2006, 2012]"
2014,development,soft,200,85,10,47,"[2006, 2012]"
2014,development,any,500,32,8,47,"[2006, 2012]"
2014,development,f01,500,27,8,47,"[2006, 2012]"
2014,development,f10,500,10,3,47,"[2006, 2012]"
2014,development,f25,500,4,1,47,"[2006, 2012]"
2014,development,f50,500,1,1,47,"[2006, 2012]"
2014,development,center,500,4,4,47,"[2006, 2012]"
2014,development,rep_point,500,20,9,47,"[2006, 2012]"
2014,development,soft,500,32,8,47,"[2006, 2012]"
2014,development,any,1000,18,7,47,"[2006, 2012]"
2014,development,f01,1000,12,7,47,"[2006, 2012]"
2014,development,f10,1000,3,1,47,"[2006, 2012]"
2014,development,f25,1000,1,1,47,"[2006, 2012]"
2014,development,f50,1000,0,0,47,"[2006, 2012]"
2014,development,center,1000,1,1,47,"[2006, 2012]"
2014,development,rep_point,1000,15,7,47,"[2006, 2012]"
2014,development,soft,1000,18,7,47,"[2006, 2012]"
2016,development,any,100,202,6,21,"[2006, 2012, 2014]"
2016,development,f01,100,189,6,21,"[2006, 2012, 2014]"
2016,development,f10,100,170,6,21,"[2006, 2012, 2014]"
2016,development,f25,100,140,7,21,"[2006, 2012, 2014]"
2016,development,f50,100,116,6,21,"[2006, 2012, 2014]"
2016,development,center,100,121,7,21,"[2006, 2012, 2014]"
2016,development,rep_point,100,21,18,21,"[2006, 2012, 2014]"
2016,development,soft,100,202,6,21,"[2006, 2012, 2014]"
2016,development,any,200,76,4,21,"[2006, 2012, 2014]"
2016,development,f01,200,74,4,21,"[2006, 2012, 2014]"
2016,development,f10,200,58,6,21,"[2006, 2012, 2014]"
2016,development,f25,200,43,5,21,"[2006, 2012, 2014]"
2016,development,f50,200,28,6,21,"[2006, 2012, 2014]"
2016,development,center,200,29,6,21,"[2006, 2012, 2014]"
2016,development,rep_point,200,20,12,21,"[2006, 2012, 2014]"
2016,development,soft,200,76,4,21,"[2006, 2012, 2014]"
2016,development,any,500,24,4,21,"[2006, 2012, 2014]"
2016,development,f01,500,21,4,21,"[2006, 2012, 2014]"
2016,development,f10,500,12,3,21,"[2006, 2012, 2014]"
2016,development,f25,500,8,4,21,"[2006, 2012, 2014]"
2016,development,f50,500,3,2,21,"[2006, 2012, 2014]"
2016,development,center,500,5,3,21,"[2006, 2012, 2014]"
2016,development,rep_point,500,13,4,21,"[2006, 2012, 2014]"
2016,development,soft,500,24,4,21,"[2006, 2012, 2014]"
2016,development,any,1000,13,4,21,"[2006, 2012, 2014]"
2016,development,f01,1000,10,4,21,"[2006, 2012, 2014]"
2016,development,f10,1000,6,3,21,"[2006, 2012, 2014]"
2016,development,f25,1000,1,1,21,"[2006, 2012, 2014]"
2016,development,f50,1000,0,0,21,"[2006, 2012, 2014]"
2016,development,center,1000,1,1,21,"[2006, 2012, 2014]"
2016,development,rep_point,1000,8,4,21,"[2006, 2012, 2014]"
2016,development,soft,1000,13,4,21,"[2006, 2012, 2014]"
2019,development,any,100,70,3,7,"[2006, 2012, 2014, 2016]"
2019,development,f01,100,61,3,7,"[2006, 2012, 2014, 2016]"
2019,development,f10,100,56,3,7,"[2006, 2012, 2014, 2016]"
2019,development,f25,100,44,2,7,"[2006, 2012, 2014, 2016]"
2019,development,f50,100,32,2,7,"[2006, 2012, 2014, 2016]"
2019,development,center,100,36,5,7,"[2006, 2012, 2014, 2016]"
2019,development,rep_point,100,6,5,7,"[2006, 2012, 2014, 2016]"
2019,development,soft,100,70,3,7,"[2006, 2012, 2014, 2016]"
2019,development,any,200,24,3,7,"[2006, 2012, 2014, 2016]"
2019,development,f01,200,23,3,7,"[2006, 2012, 2014, 2016]"
2019,development,f10,200,16,2,7,"[2006, 2012, 2014, 2016]"
2019,development,f25,200,11,2,7,"[2006, 2012, 2014, 2016]"
2019,development,f50,200,9,1,7,"[2006, 2012, 2014, 2016]"
2019,development,center,200,13,2,7,"[2006, 2012, 2014, 2016]"
2019,development,rep_point,200,5,4,7,"[2006, 2012, 2014, 2016]"
2019,development,soft,200,24,3,7,"[2006, 2012, 2014, 2016]"
2019,development,any,500,11,3,7,"[2006, 2012, 2014, 2016]"
2019,development,f01,500,8,2,7,"[2006, 2012, 2014, 2016]"
2019,development,f10,500,3,1,7,"[2006, 2012, 2014, 2016]"
2019,development,f25,500,1,1,7,"[2006, 2012, 2014, 2016]"
2019,development,f50,500,1,1,7,"[2006, 2012, 2014, 2016]"
2019,development,center,500,1,1,7,"[2006, 2012, 2014, 2016]"
2019,development,rep_point,500,5,3,7,"[2006, 2012, 2014, 2016]"
2019,development,soft,500,11,3,7,"[2006, 2012, 2014, 2016]"
2019,development,any,1000,6,2,7,"[2006, 2012, 2014, 2016]"
2019,development,f01,1000,5,1,7,"[2006, 2012, 2014, 2016]"
2019,development,f10,1000,2,1,7,"[2006, 2012, 2014, 2016]"
2019,development,f25,1000,0,0,7,"[2006, 2012, 2014, 2016]"
2019,development,f50,1000,0,0,7,"[2006, 2012, 2014, 2016]"
2019,development,center,1000,0,0,7,"[2006, 2012, 2014, 2016]"
