verdict,rule,size_m,kendall_tau_b,n_scores,L1_rank,order
V1,any,100,0.911111111111111,10,10.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,any,100,0.7333333333333333,10,9.0,hand_acc_neg>hand_neg>slope_neg>rf_F1_wf>logit_F1_wf>z_sensitivity>impervious>twi>L1>relelev_neg
V1,any,200,0.8222222222222221,10,9.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>L1>relelev_neg
V2,any,200,0.37777777777777777,10,9.0,hand_acc_neg>rf_F1_wf>impervious>hand_neg>slope_neg>twi>logit_F1_wf>z_sensitivity>L1>relelev_neg
V1,any,500,0.7333333333333333,10,9.0,hand_neg>hand_acc_neg>twi>slope_neg>rf_F1_wf>logit_F1_wf>z_sensitivity>impervious>L1>relelev_neg
V2,any,500,0.1111111111111111,10,9.0,impervious>rf_F1_wf>logit_F1_wf>twi>z_sensitivity>hand_acc_neg>slope_neg>hand_neg>L1>relelev_neg
V1,any,1000,0.3333333333333333,10,9.0,twi>rf_F1_wf>logit_F1_wf>hand_neg>hand_acc_neg>z_sensitivity>slope_neg>impervious>L1>relelev_neg
V2,any,1000,0.022222222222222223,10,8.0,impervious>rf_F1_wf>twi>z_sensitivity>logit_F1_wf>slope_neg>hand_acc_neg>L1>hand_neg>relelev_neg
V1,center,100,0.911111111111111,10,9.0,slope_neg>hand_acc_neg>hand_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>L1>impervious
V2,center,100,0.6444444444444444,10,8.0,slope_neg>hand_acc_neg>hand_neg>twi>rf_F1_wf>z_sensitivity>logit_F1_wf>L1>impervious>relelev_neg
V1,center,200,0.911111111111111,10,10.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,center,200,0.8666666666666666,10,9.0,hand_acc_neg>z_sensitivity>slope_neg>twi>hand_neg>rf_F1_wf>logit_F1_wf>impervious>L1>relelev_neg
V1,center,500,0.8666666666666666,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,center,500,0.4222222222222222,10,9.0,twi>hand_neg>hand_acc_neg>slope_neg>z_sensitivity>impervious>logit_F1_wf>rf_F1_wf>L1>relelev_neg
V1,center,1000,0.8666666666666666,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,center,1000,0.4222222222222222,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V1,f01,100,0.9555555555555554,10,9.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>L1>impervious
V2,f01,100,0.8222222222222221,10,9.0,hand_acc_neg>slope_neg>hand_neg>rf_F1_wf>logit_F1_wf>z_sensitivity>twi>impervious>L1>relelev_neg
V1,f01,200,0.8666666666666666,10,10.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V2,f01,200,0.6,10,9.0,hand_acc_neg>hand_neg>rf_F1_wf>twi>slope_neg>logit_F1_wf>z_sensitivity>impervious>L1>relelev_neg
V1,f01,500,0.7777777777777777,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>rf_F1_wf>logit_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V2,f01,500,-0.06666666666666667,10,9.0,twi>rf_F1_wf>impervious>logit_F1_wf>slope_neg>hand_neg>z_sensitivity>hand_acc_neg>L1>relelev_neg
V1,f01,1000,0.7333333333333333,10,10.0,hand_neg>twi>hand_acc_neg>slope_neg>rf_F1_wf>logit_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V2,f01,1000,-0.1111111111111111,10,4.0,impervious>z_sensitivity>twi>L1>rf_F1_wf>logit_F1_wf>slope_neg>hand_acc_neg>hand_neg>relelev_neg
V1,f10,100,0.9999999999999999,10,9.0,hand_neg>slope_neg>hand_acc_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>L1>impervious
V2,f10,100,0.9999999999999999,10,9.0,hand_acc_neg>z_sensitivity>slope_neg>hand_neg>rf_F1_wf>logit_F1_wf>twi>impervious>L1>relelev_neg
V1,f10,200,0.911111111111111,10,10.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f10,200,0.7777777777777777,10,9.0,z_sensitivity>hand_acc_neg>hand_neg>slope_neg>rf_F1_wf>impervious>twi>logit_F1_wf>L1>relelev_neg
V1,f10,500,0.8222222222222221,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V2,f10,500,0.6444444444444444,10,9.0,hand_neg>hand_acc_neg>twi>z_sensitivity>rf_F1_wf>slope_neg>logit_F1_wf>impervious>L1>relelev_neg
V1,f10,1000,0.7333333333333333,10,10.0,twi>hand_neg>hand_acc_neg>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V2,f10,1000,0.37777777777777777,10,8.0,z_sensitivity>impervious>twi>hand_acc_neg>hand_neg>slope_neg>rf_F1_wf>L1>logit_F1_wf>relelev_neg
V1,f25,100,0.911111111111111,10,9.0,slope_neg>hand_acc_neg>hand_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>L1>impervious
V2,f25,100,0.6888888888888888,10,8.0,slope_neg>hand_acc_neg>hand_neg>twi>z_sensitivity>rf_F1_wf>logit_F1_wf>L1>impervious>relelev_neg
V1,f25,200,0.911111111111111,10,10.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f25,200,0.911111111111111,10,9.0,hand_acc_neg>z_sensitivity>slope_neg>hand_neg>rf_F1_wf>twi>impervious>logit_F1_wf>L1>relelev_neg
V1,f25,500,0.8666666666666666,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f25,500,0.4666666666666666,10,9.0,twi>z_sensitivity>hand_acc_neg>hand_neg>impervious>slope_neg>logit_F1_wf>rf_F1_wf>L1>relelev_neg
V1,f25,1000,0.7777777777777777,10,10.0,hand_neg>twi>hand_acc_neg>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V2,f25,1000,0.4222222222222222,10,10.0,hand_neg>twi>hand_acc_neg>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>impervious>relelev_neg>L1
V1,f50,100,0.8666666666666666,10,10.0,slope_neg>hand_acc_neg>hand_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f50,100,0.7333333333333333,10,9.0,slope_neg>rf_F1_wf>hand_acc_neg>z_sensitivity>hand_neg>twi>logit_F1_wf>impervious>L1>relelev_neg
V1,f50,200,0.911111111111111,10,10.0,hand_neg>hand_acc_neg>slope_neg>twi>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f50,200,0.5555555555555555,10,9.0,rf_F1_wf>twi>hand_acc_neg>slope_neg>z_sensitivity>hand_neg>logit_F1_wf>impervious>L1>relelev_neg
V1,f50,500,0.8666666666666666,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
V2,f50,500,0.4222222222222222,10,10.0,hand_neg>hand_acc_neg>twi>slope_neg>logit_F1_wf>rf_F1_wf>z_sensitivity>relelev_neg>impervious>L1
