rule,size_m,median_slope,median_rf,within_margin,verdict
any,100,0.8449179903846032,0.8429154089789815,True,C-b 폐기
any,200,0.8333304792076947,0.8452921197591118,True,C-b 폐기
any,500,0.786890694239291,0.8398465171192443,False,C-b 가 자명 기준선 검사에서 탈락하지 않음
any,1000,0.7573900803179598,0.8115261472785485,False,C-b 가 자명 기준선 검사에서 탈락하지 않음
center,100,0.9143125751011407,0.8692699771405786,True,C-b 폐기
center,200,0.898544045546878,0.874728972922982,True,C-b 폐기
center,500,0.8993506493506492,0.8487469411863978,True,C-b 폐기
center,1000,0.9623675122067404,0.8362510420388234,True,C-b 폐기
f01,100,0.8586993234378968,0.841571581442071,True,C-b 폐기
f01,200,0.8351349921514215,0.8424364238146866,True,C-b 폐기
f01,500,0.8241806908768821,0.8575435488633009,False,C-b 가 자명 기준선 검사에서 탈락하지 않음
f01,1000,0.7986051502145922,0.7993251677328755,True,C-b 폐기
f10,100,0.8717151957228565,0.8545759203980099,True,C-b 폐기
f10,200,0.8720037712827906,0.8664006262529448,True,C-b 폐기
f10,500,0.8257989829302085,0.8258710662809651,True,C-b 폐기
f10,1000,0.851043897216274,0.840926852141294,True,C-b 폐기
f25,100,0.9121696287604494,0.8581771562725007,True,C-b 폐기
f25,200,0.8905500951988885,0.869250672561216,True,C-b 폐기
f25,500,0.8659173814453317,0.8470373656709062,True,C-b 폐기
f25,1000,0.9753930280246069,0.8628063665657651,True,C-b 폐기
f50,100,0.9048320621168633,0.8933213907293808,True,C-b 폐기
f50,200,0.9076972683884131,0.9205256708466941,True,C-b 폐기
f50,500,0.9663329725829727,0.8410714285714286,True,C-b 폐기
f50,1000,0.9776928953399542,0.8475171886936594,True,C-b 폐기
rep_point,100,0.7977849703678375,0.8301407400153209,False,C-b 가 자명 기준선 검사에서 탈락하지 않음
rep_point,200,0.7824784708404561,0.8405021235483086,False,C-b 가 자명 기준선 검사에서 탈락하지 않음
rep_point,500,0.7703659976387249,0.8446518948335515,False,C-b 가 자명 기준선 검사에서 탈락하지 않음
rep_point,1000,0.7200838186556391,0.7921936944008809,False,C-b 가 자명 기준선 검사에서 탈락하지 않음
soft,100,0.8899032457181498,0.8458138688635615,True,C-b 폐기
soft,200,0.8847686654380915,0.874475448604943,True,C-b 폐기
soft,500,0.8414934840029807,0.85201011904569,True,C-b 폐기
soft,1000,0.8124546304702438,0.8462613897595784,False,C-b 가 자명 기준선 검사에서 탈락하지 않음
