rule,size_m,score,metric,role_group,median,n_events
any,100,L1,capture_0.2,all,0.5386650232293544,10
any,100,L1,capture_0.2,development,0.5386650232293544,6
any,100,L1,capture_0.2,holdout,0.3944099378881987,4
any,100,L1,cell_auc,all,0.7498867416865854,10
any,100,L1,cell_auc,development,0.7858132929402502,6
any,100,L1,cell_auc,holdout,0.6820890652111791,4
any,100,L1,object_auc,all,0.7948866693077021,10
any,100,L1,object_auc,development,0.7952064623921147,6
any,100,L1,object_auc,holdout,0.7548738052727366,4
any,100,hand_acc_neg,capture_0.2,all,0.8524392527740063,10
any,100,hand_acc_neg,capture_0.2,development,0.916973125884017,6
any,100,hand_acc_neg,capture_0.2,holdout,0.6454451345755694,4
any,100,hand_acc_neg,cell_auc,all,0.8646836768508981,10
any,100,hand_acc_neg,cell_auc,development,0.8729184925421105,6
any,100,hand_acc_neg,cell_auc,holdout,0.8083418247045655,4
any,100,hand_acc_neg,object_auc,all,0.8472950558209973,10
any,100,hand_acc_neg,object_auc,development,0.8638788603051771,6
any,100,hand_acc_neg,object_auc,holdout,0.8084306184378756,4
any,100,hand_neg,capture_0.2,all,0.8365229110512129,10
any,100,hand_neg,capture_0.2,development,0.862022630834512,6
any,100,hand_neg,capture_0.2,holdout,0.49327122153209113,4
any,100,hand_neg,cell_auc,all,0.8555587301028861,10
any,100,hand_neg,cell_auc,development,0.8619472912392785,6
any,100,hand_neg,cell_auc,holdout,0.7690123256647179,4
any,100,hand_neg,object_auc,all,0.8451100700330114,10
any,100,hand_neg,object_auc,development,0.8706389778916175,6
any,100,hand_neg,object_auc,holdout,0.7807163413880116,4
any,100,impervious,capture_0.2,all,0.7018418688230008,10
any,100,impervious,capture_0.2,development,0.5475585474542524,6
any,100,impervious,capture_0.2,holdout,0.7582815734989647,4
any,100,impervious,cell_auc,all,0.79446519276552,10
any,100,impervious,cell_auc,development,0.7308152327958175,6
any,100,impervious,cell_auc,holdout,0.8224262828942053,4
any,100,impervious,object_auc,all,0.8213015515822231,10
any,100,impervious,object_auc,development,0.7536208856813315,6
any,100,impervious,object_auc,holdout,0.8545226494845968,4
any,100,logit_F1_wf,capture_0.2,all,0.6904761904761905,9
any,100,logit_F1_wf,capture_0.2,development,0.7376237623762376,5
any,100,logit_F1_wf,capture_0.2,holdout,0.6713250517598344,4
any,100,logit_F1_wf,cell_auc,all,0.8337996270703427,9
any,100,logit_F1_wf,cell_auc,development,0.8337996270703427,5
