verdict,rule,size_m,config_class,other,diff_ref,diff,material_reversal
V1,any,100,rule_only,slope_neg,-0.48602921064533106,-0.4189007492983723,False
V1,any,100,rule_only,relelev_neg,-0.02658659385314549,-0.006031227836377329,False
V1,any,100,rule_only,twi,-0.4549179144959405,-0.38767592303330123,False
V1,any,100,rule_only,impervious,0.007884360784997269,-0.00033639523734940724,False
V1,any,100,rule_only,hand_neg,-0.48604053865047775,-0.42835970904700527,False
V1,any,100,rule_only,hand_acc_neg,-0.4848484151615086,-0.4278389110105806,False
V1,any,100,rule_only,z_sensitivity,-0.2991048182339064,-0.26594795557226636,False
V1,any,100,rule_only,rf_F1_wf,-0.4075544816095638,-0.3592893287817518,False
V1,any,100,rule_only,logit_F1_wf,-0.41059158473372864,-0.3593924950114782,False
V2,any,100,rule_only,slope_neg,-0.08062375096546393,-0.06273571292504598,False
V2,any,100,rule_only,relelev_neg,0.24240681919101803,0.2257070292723291,False
V2,any,100,rule_only,twi,-0.04935528729476246,-0.024837295145619942,False
V2,any,100,rule_only,impervious,-0.016811175287431368,-0.02903815469338511,False
V2,any,100,rule_only,hand_neg,-0.07073425056127736,-0.06707341449618032,False
V2,any,100,rule_only,hand_acc_neg,-0.08632337686517555,-0.08225201863900655,False
V2,any,100,rule_only,z_sensitivity,-0.082863846552516,-0.04694320393873763,False
V2,any,100,rule_only,rf_F1_wf,-0.06348447564061732,-0.06073313151942428,False
V2,any,100,rule_only,logit_F1_wf,-0.05483917335882804,-0.05161734961078546,False
V1,any,200,both,slope_neg,-0.48602921064533106,-0.35804457212562024,False
V1,any,200,both,relelev_neg,-0.02658659385314549,0.004751392389542142,False
V1,any,200,both,twi,-0.4549179144959405,-0.3478519857971354,False
V1,any,200,both,impervious,0.007884360784997269,-0.026870023595361392,False
V1,any,200,both,hand_neg,-0.48604053865047775,-0.3872298999192163,False
V1,any,200,both,hand_acc_neg,-0.4848484151615086,-0.38316747608601887,False
V1,any,200,both,z_sensitivity,-0.2991048182339064,-0.2410727717727309,False
V1,any,200,both,rf_F1_wf,-0.4075544816095638,-0.3130970165354121,False
V1,any,200,both,logit_F1_wf,-0.41059158473372864,-0.3134471235167102,False
V2,any,200,both,slope_neg,-0.08062375096546393,-0.0699946592626427,False
V2,any,200,both,relelev_neg,0.24240681919101803,0.17143012025615167,False
V2,any,200,both,twi,-0.04935528729476246,-0.06978916221666287,False
V2,any,200,both,impervious,-0.016811175287431368,-0.07798593139621524,False
V2,any,200,both,hand_neg,-0.07073425056127736,-0.07075123488818713,False
V2,any,200,both,hand_acc_neg,-0.08632337686517555,-0.10172482562406826,False
V2,any,200,both,z_sensitivity,-0.082863846552516,-0.06233704017425046,False
V2,any,200,both,rf_F1_wf,-0.06348447564061732,-0.08195629981405983,False
V2,any,200,both,logit_F1_wf,-0.05483917335882804,-0.06807954095913504,False
V1,any,500,both,slope_neg,-0.48602921064533106,-0.26271036883733623,False
V1,any,500,both,relelev_neg,-0.02658659385314549,0.018612996208414168,False
V1,any,500,both,twi,-0.4549179144959405,-0.2691898894611029,False
V1,any,500,both,impervious,0.007884360784997269,-0.08223101934297017,False
V1,any,500,both,hand_neg,-0.48604053865047775,-0.2833047226366763,False
V1,any,500,both,hand_acc_neg,-0.4848484151615086,-0.27522286930526807,False
V1,any,500,both,z_sensitivity,-0.2991048182339064,-0.20573764793334515,False
V1,any,500,both,rf_F1_wf,-0.4075544816095638,-0.24723786451899266,False
V1,any,500,both,logit_F1_wf,-0.41059158473372864,-0.24647981475242398,False
V2,any,500,both,slope_neg,-0.08062375096546393,-0.05034465139489952,False
V2,any,500,both,relelev_neg,0.24240681919101803,0.11992861300687307,False
V2,any,500,both,twi,-0.04935528729476246,-0.08313338725356034,False
V2,any,500,both,impervious,-0.016811175287431368,-0.1267479010256234,False
V2,any,500,both,hand_neg,-0.07073425056127736,-0.03739084226931211,False
V2,any,500,both,hand_acc_neg,-0.08632337686517555,-0.0649006651567895,False
V2,any,500,both,z_sensitivity,-0.082863846552516,-0.08058837369918315,False
V2,any,500,both,rf_F1_wf,-0.06348447564061732,-0.10330047427485278,False
V2,any,500,both,logit_F1_wf,-0.05483917335882804,-0.08978217439291658,False
V1,any,1000,both,slope_neg,-0.48602921064533106,-0.17569415760245988,False
V1,any,1000,both,relelev_neg,-0.02658659385314549,0.02112074900178995,True
V1,any,1000,both,twi,-0.4549179144959405,-0.19402909725090645,False
V1,any,1000,both,impervious,0.007884360784997269,-0.10263435678553401,False
V1,any,1000,both,hand_neg,-0.48604053865047775,-0.18738813162604984,False
V1,any,1000,both,hand_acc_neg,-0.4848484151615086,-0.17859929322135026,False
V1,any,1000,both,z_sensitivity,-0.2991048182339064,-0.17771352517325256,False
V1,any,1000,both,rf_F1_wf,-0.4075544816095638,-0.19339116067740603,False
V1,any,1000,both,logit_F1_wf,-0.41059158473372864,-0.18903116251319474,False
V2,any,1000,both,slope_neg,-0.08062375096546393,-0.023772150755526522,False
V2,any,1000,both,relelev_neg,0.24240681919101803,0.10714576682153398,False
V2,any,1000,both,twi,-0.04935528729476246,-0.07071825887439753,False
V2,any,1000,both,impervious,-0.016811175287431368,-0.10377500405641038,False
V2,any,1000,both,hand_neg,-0.07073425056127736,0.004095137539641414,False
V2,any,1000,both,hand_acc_neg,-0.08632337686517555,-0.012593878005671355,False
V2,any,1000,both,z_sensitivity,-0.082863846552516,-0.06790776636904428,False
V2,any,1000,both,rf_F1_wf,-0.06348447564061732,-0.07790821771611522,False
V2,any,1000,both,logit_F1_wf,-0.05483917335882804,-0.0629375063902039,False
V1,center,100,rule_only,slope_neg,-0.48602921064533106,-0.5378183766361585,False
V1,center,100,rule_only,relelev_neg,-0.02658659385314549,-0.04487723551746292,False
V1,center,100,rule_only,twi,-0.4549179144959405,-0.5037411140416019,False
V1,center,100,rule_only,impervious,0.007884360784997269,0.0018782623788918817,False
V1,center,100,rule_only,hand_neg,-0.48604053865047775,-0.5283098002758311,False
V1,center,100,rule_only,hand_acc_neg,-0.4848484151615086,-0.5311722102981659,False
V1,center,100,rule_only,z_sensitivity,-0.2991048182339064,-0.3248956551491622,False
V1,center,100,rule_only,rf_F1_wf,-0.4075544816095638,-0.4460296481584036,False
V1,center,100,rule_only,logit_F1_wf,-0.41059158473372864,-0.44788722942769144,False
V2,center,100,rule_only,slope_neg,-0.08062375096546393,-0.12202607736166016,False
V2,center,100,rule_only,relelev_neg,0.24240681919101803,0.2584837190557858,False
V2,center,100,rule_only,twi,-0.04935528729476246,-0.0787144059501762,False
V2,center,100,rule_only,impervious,-0.016811175287431368,0.10325732642133523,False
V2,center,100,rule_only,hand_neg,-0.07073425056127736,-0.07872305155804615,False
V2,center,100,rule_only,hand_acc_neg,-0.08632337686517555,-0.10161754705909298,False
V2,center,100,rule_only,z_sensitivity,-0.082863846552516,-0.06844063598684214,False
V2,center,100,rule_only,rf_F1_wf,-0.06348447564061732,-0.07698347940109806,False
V2,center,100,rule_only,logit_F1_wf,-0.05483917335882804,-0.054335574281684895,False
V1,center,200,both,slope_neg,-0.48602921064533106,-0.5477171953985511,False
V1,center,200,both,relelev_neg,-0.02658659385314549,-0.054217930089823396,False
V1,center,200,both,twi,-0.4549179144959405,-0.533542311704902,False
V1,center,200,both,impervious,0.007884360784997269,-0.01137898123097758,False
V1,center,200,both,hand_neg,-0.48604053865047775,-0.5603988681398444,False
V1,center,200,both,hand_acc_neg,-0.4848484151615086,-0.5559386430357866,False
V1,center,200,both,z_sensitivity,-0.2991048182339064,-0.33920525682710834,False
V1,center,200,both,rf_F1_wf,-0.4075544816095638,-0.4471573248525764,False
V1,center,200,both,logit_F1_wf,-0.41059158473372864,-0.45493433494590185,False
V2,center,200,both,slope_neg,-0.08062375096546393,-0.0741933794973999,False
V2,center,200,both,relelev_neg,0.24240681919101803,0.26944484045913764,False
V2,center,200,both,twi,-0.04935528729476246,-0.07113050334886761,False
V2,center,200,both,impervious,-0.016811175287431368,-0.021457593992696644,False
V2,center,200,both,hand_neg,-0.07073425056127736,-0.0686462532969554,False
V2,center,200,both,hand_acc_neg,-0.08632337686517555,-0.08722740832176079,False
V2,center,200,both,z_sensitivity,-0.082863846552516,-0.076026076222805,False
V2,center,200,both,rf_F1_wf,-0.06348447564061732,-0.050378306873503975,False
V2,center,200,both,logit_F1_wf,-0.05483917335882804,-0.03285093773380554,False
V1,center,500,both,slope_neg,-0.48602921064533106,-0.5366529646238167,False
V1,center,500,both,relelev_neg,-0.02658659385314549,-0.10298953662182364,False
