role_group,rule,size_m,group,level,n,n_survive,median_area_m2,survival,n_outside_domain
development,any,100,all,all,142,142,8945.4955105669,1.0,1.0
development,f01,100,all,all,142,142,8945.4955105669,1.0,1.0
development,f10,100,all,all,142,136,8945.4955105669,0.9577464788732394,1.0
development,f25,100,all,all,142,116,8945.4955105669,0.8169014084507042,1.0
development,f50,100,all,all,142,88,8945.4955105669,0.6197183098591549,1.0
development,center,100,all,all,142,115,8945.4955105669,0.8098591549295775,1.0
development,rep_point,100,all,all,142,141,8945.4955105669,0.9929577464788732,1.0
development,soft,100,all,all,142,142,8945.4955105669,1.0,1.0
development,any,200,all,all,142,142,8945.4955105669,1.0,1.0
development,f01,200,all,all,142,141,8945.4955105669,0.9929577464788732,1.0
development,f10,200,all,all,142,114,8945.4955105669,0.8028169014084507,1.0
development,f25,200,all,all,142,87,8945.4955105669,0.6126760563380281,1.0
development,f50,200,all,all,142,66,8945.4955105669,0.4647887323943662,1.0
development,center,200,all,all,142,85,8945.4955105669,0.5985915492957746,1.0
development,rep_point,200,all,all,142,141,8945.4955105669,0.9929577464788732,1.0
development,soft,200,all,all,142,142,8945.4955105669,1.0,1.0
development,any,500,all,all,142,142,8945.4955105669,1.0,1.0
development,f01,500,all,all,142,129,8945.4955105669,0.9084507042253521,1.0
development,f10,500,all,all,142,78,8945.4955105669,0.5492957746478874,1.0
development,f25,500,all,all,142,63,8945.4955105669,0.44366197183098594,1.0
development,f50,500,all,all,142,39,8945.4955105669,0.2746478873239437,1.0
development,center,500,all,all,142,55,8945.4955105669,0.3873239436619718,1.0
development,rep_point,500,all,all,142,141,8945.4955105669,0.9929577464788732,1.0
development,soft,500,all,all,142,142,8945.4955105669,1.0,1.0
development,any,1000,all,all,142,142,8945.4955105669,1.0,1.0
development,f01,1000,all,all,142,111,8945.4955105669,0.7816901408450704,1.0
development,f10,1000,all,all,142,68,8945.4955105669,0.4788732394366197,1.0
development,f25,1000,all,all,142,24,8945.4955105669,0.16901408450704225,1.0
development,f50,1000,all,all,142,0,8945.4955105669,0.0,1.0
development,center,1000,all,all,142,19,8945.4955105669,0.13380281690140844,1.0
development,rep_point,1000,all,all,142,141,8945.4955105669,0.9929577464788732,1.0
development,soft,1000,all,all,142,142,8945.4955105669,1.0,1.0
holdout,any,100,all,all,196,196,3589.60170774748,1.0,0.0
holdout,f01,100,all,all,196,189,3589.60170774748,0.9642857142857143,0.0
holdout,f10,100,all,all,196,130,3589.60170774748,0.6632653061224489,0.0
holdout,f25,100,all,all,196,106,3589.60170774748,0.5408163265306123,0.0
holdout,f50,100,all,all,196,85,3589.60170774748,0.4336734693877551,0.0
holdout,center,100,all,all,196,100,3589.60170774748,0.5102040816326531,0.0
holdout,rep_point,100,all,all,196,196,3589.60170774748,1.0,0.0
holdout,soft,100,all,all,196,196,3589.60170774748,1.0,0.0
holdout,any,200,all,all,196,196,3589.60170774748,1.0,0.0
holdout,f01,200,all,all,196,159,3589.60170774748,0.8112244897959183,0.0
holdout,f10,200,all,all,196,107,3589.60170774748,0.5459183673469388,0.0
holdout,f25,200,all,all,196,88,3589.60170774748,0.4489795918367347,0.0
holdout,f50,200,all,all,196,60,3589.60170774748,0.30612244897959184,0.0
holdout,center,200,all,all,196,78,3589.60170774748,0.3979591836734694,0.0
holdout,rep_point,200,all,all,196,196,3589.60170774748,1.0,0.0
holdout,soft,200,all,all,196,196,3589.60170774748,1.0,0.0
holdout,any,500,all,all,196,196,3589.60170774748,1.0,0.0
holdout,f01,500,all,all,196,131,3589.60170774748,0.6683673469387755,0.0
holdout,f10,500,all,all,196,84,3589.60170774748,0.42857142857142855,0.0
holdout,f25,500,all,all,196,57,3589.60170774748,0.29081632653061223,0.0
holdout,f50,500,all,all,196,31,3589.60170774748,0.15816326530612246,0.0
holdout,center,500,all,all,196,55,3589.60170774748,0.28061224489795916,0.0
holdout,rep_point,500,all,all,196,196,3589.60170774748,1.0,0.0
holdout,soft,500,all,all,196,196,3589.60170774748,1.0,0.0
holdout,any,1000,all,all,196,196,3589.60170774748,1.0,0.0
holdout,f01,1000,all,all,196,107,3589.60170774748,0.5459183673469388,0.0
holdout,f10,1000,all,all,196,71,3589.60170774748,0.3622448979591837,0.0
holdout,f25,1000,all,all,196,20,3589.60170774748,0.10204081632653061,0.0
holdout,f50,1000,all,all,196,17,3589.60170774748,0.08673469387755102,0.0
holdout,center,1000,all,all,196,21,3589.60170774748,0.10714285714285714,0.0
holdout,rep_point,1000,all,all,196,196,3589.60170774748,1.0,0.0
holdout,soft,1000,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,any,100,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,f01,100,all,all,196,189,3589.60170774748,0.9642857142857143,0.0
holdout_pooled,f10,100,all,all,196,130,3589.60170774748,0.6632653061224489,0.0
holdout_pooled,f25,100,all,all,196,106,3589.60170774748,0.5408163265306123,0.0
holdout_pooled,f50,100,all,all,196,85,3589.60170774748,0.4336734693877551,0.0
holdout_pooled,center,100,all,all,196,100,3589.60170774748,0.5102040816326531,0.0
holdout_pooled,rep_point,100,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,soft,100,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,any,200,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,f01,200,all,all,196,159,3589.60170774748,0.8112244897959183,0.0
holdout_pooled,f10,200,all,all,196,107,3589.60170774748,0.5459183673469388,0.0
holdout_pooled,f25,200,all,all,196,88,3589.60170774748,0.4489795918367347,0.0
holdout_pooled,f50,200,all,all,196,60,3589.60170774748,0.30612244897959184,0.0
holdout_pooled,center,200,all,all,196,79,3589.60170774748,0.4030612244897959,0.0
holdout_pooled,rep_point,200,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,soft,200,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,any,500,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,f01,500,all,all,196,131,3589.60170774748,0.6683673469387755,0.0
holdout_pooled,f10,500,all,all,196,85,3589.60170774748,0.4336734693877551,0.0
holdout_pooled,f25,500,all,all,196,57,3589.60170774748,0.29081632653061223,0.0
holdout_pooled,f50,500,all,all,196,31,3589.60170774748,0.15816326530612246,0.0
holdout_pooled,center,500,all,all,196,55,3589.60170774748,0.28061224489795916,0.0
holdout_pooled,rep_point,500,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,soft,500,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,any,1000,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,f01,1000,all,all,196,107,3589.60170774748,0.5459183673469388,0.0
holdout_pooled,f10,1000,all,all,196,71,3589.60170774748,0.3622448979591837,0.0
holdout_pooled,f25,1000,all,all,196,20,3589.60170774748,0.10204081632653061,0.0
holdout_pooled,f50,1000,all,all,196,17,3589.60170774748,0.08673469387755102,0.0
holdout_pooled,center,1000,all,all,196,21,3589.60170774748,0.10714285714285714,0.0
holdout_pooled,rep_point,1000,all,all,196,196,3589.60170774748,1.0,0.0
holdout_pooled,soft,1000,all,all,196,196,3589.60170774748,1.0,0.0
development,any,100,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,any,100,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,any,100,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f01,100,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,f01,100,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,f01,100,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f10,100,area_bin,1k-5k,41,40,2880.8243044236187,0.975609756097561,1.0
development,f10,100,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,f10,100,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f25,100,area_bin,1k-5k,41,23,2880.8243044236187,0.5609756097560976,1.0
development,f25,100,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,f25,100,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,f50,100,area_bin,1k-5k,41,6,2880.8243044236187,0.14634146341463414,1.0
development,f50,100,area_bin,5k-20k,33,23,8400.46951792811,0.696969696969697,1.0
development,f50,100,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,center,100,area_bin,1k-5k,41,22,2880.8243044236187,0.5365853658536586,1.0
development,center,100,area_bin,5k-20k,33,31,8400.46951792811,0.9393939393939394,1.0
development,center,100,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,rep_point,100,area_bin,1k-5k,41,40,2880.8243044236187,0.975609756097561,1.0
development,rep_point,100,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,rep_point,100,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
development,soft,100,area_bin,1k-5k,41,41,2880.8243044236187,1.0,1.0
development,soft,100,area_bin,5k-20k,33,33,8400.46951792811,1.0,1.0
development,soft,100,area_bin,>=20k,58,58,49811.22940251715,1.0,1.0
