rule,distance_bin,gap_bin,n,auc_unit_flip_rate,unit_flip_rate,grid_pass_rate,object_pass_rate
any,"[-0.05, 0.0)","[-0.1, 0.0)",766,0.0,0.0,0.0,0.0
any,"[-0.05, 0.0)","[-0.2, -0.1)",644,0.0,0.0,0.0,0.0
any,"[-0.05, 0.0)","[-inf, -0.2)",619,0.0,0.0,0.0,0.0
any,"[-0.05, 0.0)","[0.0, 0.1)",805,0.8298136645962733,0.7229813664596273,0.7229813664596273,0.0
any,"[-0.05, 0.0)","[0.1, 0.2)",448,1.0,1.0,1.0,0.0
any,"[-0.05, 0.0)","[0.2, inf)",107,1.0,1.0,1.0,0.0
any,"[-0.1, -0.05)","[-0.1, 0.0)",245,0.0,0.0,0.0,0.0
any,"[-0.1, -0.05)","[-0.2, -0.1)",252,0.0,0.0,0.0,0.0
any,"[-0.1, -0.05)","[-inf, -0.2)",246,0.0,0.0,0.0,0.0
any,"[-0.1, -0.05)","[0.0, 0.1)",268,0.376865671641791,0.29850746268656714,0.29850746268656714,0.0
any,"[-0.1, -0.05)","[0.1, 0.2)",263,1.0,0.9923954372623575,0.9923954372623575,0.0
any,"[-0.1, -0.05)","[0.2, inf)",45,1.0,1.0,1.0,0.0
any,"[-inf, -0.1)","[-0.1, 0.0)",30,0.0,0.0,0.0,0.0
any,"[-inf, -0.1)","[-0.2, -0.1)",73,0.0,0.0,0.0,0.0
any,"[-inf, -0.1)","[-inf, -0.2)",62,0.0,0.0,0.0,0.0
any,"[-inf, -0.1)","[0.0, 0.1)",36,0.0,0.0,0.0,0.0
any,"[-inf, -0.1)","[0.1, 0.2)",45,0.8888888888888888,0.8666666666666667,0.8666666666666667,0.0
any,"[-inf, -0.1)","[0.2, inf)",4,1.0,1.0,1.0,0.0
any,"[0.0, 0.05)","[-0.1, 0.0)",2856,0.5994397759103641,0.5801820728291317,0.21953781512605042,0.7864145658263305
