no,block,dist,median,shape,beta,n_obj,n_events,counts,upsilon,mu0,tau,delta_star,object_auc_limit,top10_share_theory,neff_ratio_theory
0,A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049
1,A,lognormal,5000.0,0.5,-1.0,200,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049
2,A,lognormal,5000.0,0.5,-0.5,30,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049
3,A,lognormal,5000.0,0.5,-0.5,200,1,equal,0.0,0.95,0.5,-0.055008852533911856,0.7260243075020016,0.21723908042730522,0.7788007830714049
4,A,lognormal,5000.0,0.5,0.0,30,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049
5,A,lognormal,5000.0,0.5,0.0,200,1,equal,0.0,0.95,0.5,0.0,0.7367420049605218,0.21723908042730522,0.7788007830714049
6,A,lognormal,5000.0,0.5,0.5,30,1,equal,0.0,0.95,0.5,0.05003345336594234,0.7260243075020016,0.21723908042730522,0.7788007830714049
7,A,lognormal,5000.0,0.5,0.5,200,1,equal,0.0,0.95,0.5,0.05003345336594234,0.7260243075020016,0.21723908042730522,0.7788007830714049
8,A,lognormal,5000.0,0.5,1.0,30,1,equal,0.0,0.95,0.5,0.08850142593097321,0.700891117754484,0.21723908042730522,0.7788007830714049
9,A,lognormal,5000.0,0.5,1.0,200,1,equal,0.0,0.95,0.5,0.08850142593097321,0.700891117754484,0.21723908042730522,0.7788007830714049
10,A,lognormal,5000.0,1.0,-1.0,30,1,equal,0.0,0.95,0.5,-0.21195436743202095,0.700891117754484,0.389143691645361,0.36787944117144233
11,A,lognormal,5000.0,1.0,-1.0,200,1,equal,0.0,0.95,0.5,-0.21195436743202095,0.700891117754484,0.389143691645361,0.36787944117144233
