block,dist,median,shape,beta,n_obj,n_events,counts,upsilon,mu0,tau,delta_star,object_auc_limit,top10_share_theory,neff_ratio_theory,scenario_no,rule,n_replicates,n_evaluable,gap_median,gap_median_lo,gap_median_hi,gap_mean,gap_sd,p10,p_pos10,p_neg10,class,cell_auc_median,object_auc_median,capture_median,object_capture_median,term_size_weight_median,term_within_object_median,term_erasure_median,n_eff_median,n_survive_median,n_K_median,top10_share_median,max_event_share_median,sd_A_median,rho_wA_median,concentration_factor_median,n_pos_cells_median,n_polygons_median,erased_frac_median,erasure_median_lo,erasure_median_hi,grid_pass_rate,object_pass_rate,unit_flip_rate,auc_unit_flip_rate,rule_flip_rate,B_n,B_max_event_share_median,B_v1_auc_median,B_v2_auc_median,B_v1_minus_v2_auc_median,B_p_abs_v1_v2_ge_01,B_v1_pass_rate,B_v2_pass_rate,B_v1_v2_flip_rate,B_n_events_used_median
A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,0,any,200,200,-0.04407139460117393,-0.04788033805188863,-0.040348075996869626,-0.04514302974252555,0.02317154760392828,0.015,0.0,0.015,없음,0.656945645841233,0.6976344815273388,0.4681791883626746,0.5323433736438393,-0.04402042860732297,-0.0005507651333755414,0.0,26.64739251175707,30.0,30.0,0.1614532420984034,1.0,0.304937233722208,-0.4180179280096132,0.354702157432375,101.0,30.0,0.0,0.0,0.0,0.205,0.455,0.25,0.25,0.08,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,0,center,200,200,-0.10024170185599196,-0.11243253578604928,-0.08982704710726352,-0.10329130851204138,0.06228151545983403,0.505,0.0,0.505,벌어짐,0.6015634957426703,0.6976344815273388,0.38461538461538464,0.5323433736438393,-0.017278270601867596,-0.0007916664748863766,-0.08130387794067528,14.727272727272728,16.0,30.0,0.25,1.0,0.322296931014427,-0.2655673385869035,0.2439029573418149,17.0,30.0,0.4666666666666667,-0.08798811823191999,-0.07227378382831817,0.1,0.455,0.355,0.355,0.105,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,0,f01,200,200,-0.04757460916091777,-0.051632158841102505,-0.04372192251230789,-0.048140681132336056,0.022866302976086585,0.02,0.0,0.02,없음,0.6489211760035043,0.6976344815273388,0.46875,0.5323433736438393,-0.04719581080393448,-0.00015233870377745484,0.0,26.3156146179402,30.0,30.0,0.16129032258064516,1.0,0.3049810677802587,-0.43025413680468655,0.3741758607943081,88.5,30.0,0.0,0.0,0.0,0.2,0.455,0.265,0.255,0.075,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,0,f10,200,200,-0.062158750118305295,-0.0685372052899954,-0.05819050202741605,-0.06436869538352286,0.029152486210790675,0.105,0.0,0.105,가끔,0.6334528412882412,0.6976344815273388,0.4423076923076923,0.5323433736438393,-0.06026728489499755,-0.0003942398684916304,0.0,24.801526717557252,30.0,30.0,0.18867924528301888,1.0,0.308494087141741,-0.45349426986225183,0.4452244962611629,54.0,30.0,0.0,0.0,0.0,0.135,0.455,0.32,0.315,0.0,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,0,f25,200,200,-0.11647372472755552,-0.1244938224929999,-0.10849627215457835,-0.12253866800238392,0.053617683548392275,0.675,0.0,0.675,벌어짐,0.577475443555385,0.6976344815273388,0.36,0.5323433736438393,-0.040840990116986275,-0.0005510279340327773,-0.07196234646270905,18.15000805279189,21.0,30.0,0.25,1.0,0.3164498700341748,-0.3384208678925681,0.353105805561851,26.0,30.0,0.30000000000000004,-0.07842880370627547,-0.06686488594536955,0.04,0.455,0.415,0.425,0.105,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,0,f50,200,129,-0.26675720811153514,-0.30235631897480575,-0.23729378125839512,-0.26685750998027663,0.12587568962072831,0.9069767441860465,0.0,0.9069767441860465,벌어짐,0.4062156181236247,0.6826959748393265,0.16666666666666666,0.5147775231000834,0.0,-0.002847949765314106,-0.24048763256636219,5.444444444444445,6.0,30.0,0.5714285714285714,1.0,0.29796718439030573,-0.2603958788775439,1.4901161193847656e-08,6.0,30.0,0.8,-0.2685429285569342,-0.22183227442051445,0.015503875968992248,0.34108527131782945,0.32558139534883723,0.34108527131782945,0.08527131782945736,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,0,rep_point,200,200,0.0003289840734672089,-0.0005801033532863986,0.001188288526683512,0.0002153549116565684,0.005650967656963661,0.0,0.0,0.0,없음,0.6980681344341589,0.6976344815273388,0.5333333333333333,0.5323433736438393,0.0,0.0003289840734671534,0.0,30.0,30.0,30.0,0.1,1.0,0.3107143440693999,-0.04121568410190782,0.0,30.0,30.0,0.0,0.0,0.0,0.475,0.455,0.04,0.015,0.34,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,30,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,0,soft,200,200,-0.09820188394210877,-0.10566141538662854,-0.09299861658684261,-0.09989327065121077,0.035209366001817434,0.475,0.0,0.475,가끔,0.599430026576641,0.6976344815273388,0.3936840675494475,0.5323433736438393,-0.09778925223239121,-0.0003541805283582833,0.0,23.882492190845944,30.0,30.0,0.20986686938153407,1.0,0.3070556793424481,-0.6282902471646306,0.506112941772314,101.0,30.0,0.0,0.0,0.0,0.075,0.455,0.38,0.405,0.06,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,200,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,1,any,200,200,-0.04481339928507694,-0.046048598435060595,-0.043479615345365374,-0.0447847872797868,0.008752351013647687,0.0,0.0,0.0,없음,0.6595628309812338,0.7020982504791071,0.4691887882159699,0.5257330467873602,-0.04425439922519042,0.00012465666963495936,0.0,176.42211384653626,200.0,200.0,0.16598935600451167,1.0,0.30810254427229433,-0.4005604205966572,0.3655745209719917,670.0,200.0,0.0,0.0,0.0,0.045,0.545,0.5,0.505,0.035,,,,,,,,,,
A,lognormal,5000.0,0.5,-1.0,200,1,equal,0.0,0.95,0.5,-0.10233363231071502,0.700891117754484,0.21723908042730522,0.7788007830714049,1,center,200,200,-0.1017584585983205,-0.10722568159019308,-0.0976504570786314,-0.10163372817175871,0.025114442412952905,0.53,0.0,0.53,벌어짐,0.5997476803237121,0.7020982504791071,0.3942174033917153,0.5257330467873602,-0.022514912441189694,-0.003197657528656861,-0.07495242806718122,96.87942599161597,104.5,200.0,0.25879328723024175,1.0,0.3291919422450059,-0.24762722237743393,0.28255719016747627,112.0,200.0,0.4775,-0.07843061758189773,-0.07203818317517352,0.005,0.545,0.54,0.545,0.015,,,,,,,,,,
