score,unit,stratum,storm,metric,polygon_subset,value_new,value_ref,ci_lo_new,ci_lo_ref,ci_hi_new,ci_hi_ref,n_units_new,n_units_ref,n_polygons_new,n_polygons_ref,score_role_new,score_role_ref,post_hoc_design_new,post_hoc_design_ref,confirmatory_new,confirmatory_ref,_merge
L1,area,ALL,2022-09-06,capture_0.05,all,0.2107840656547624,0.2107840656553545,,,,,6,6,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2022-09-06,capture_0.05,no_landuse_attr,0.2107840656547624,0.2107840656553545,,,,,6,6,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2022-09-06,capture_0.1,all,0.3789501582665788,0.3789501582676434,,,,,6,6,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2022-09-06,capture_0.1,no_landuse_attr,0.3789501582665788,0.3789501582676434,,,,,6,6,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2022-09-06,observed-label_auc,all,0.8851352541804492,0.8851352541806348,0.8403688295825859,0.8403688295827056,0.967444074862112,0.967444074862112,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2022-09-06,observed-label_auc,no_landuse_attr,0.8851352541804492,0.8851352541806348,0.8403688295825859,0.8403688295827056,0.967444074862112,0.967444074862112,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2022-09-06,observed-label_auc_diff,all,0.1058916985015194,0.1058916985007507,-0.0729414154417793,-0.0729414154417793,0.3034930215171105,0.3034930215166023,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2022-09-06,observed-label_auc_diff,no_landuse_attr,0.1058916985015194,0.1058916985007507,-0.0729414154417793,-0.0729414154417793,0.3034930215171105,0.3034930215166023,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.05,all,0.7151003730340003,0.7151003730338714,,,,,42,42,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.05,no_landuse_attr,0.7151003730340003,0.7151003730338714,,,,,42,42,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.1,all,0.7570898243195276,0.7570898243194021,,,,,42,42,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.1,no_landuse_attr,0.7570898243195276,0.7570898243194021,,,,,42,42,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.2,all,0.7570898243195276,0.7570898243194021,,,,,42,42,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.2,no_landuse_attr,0.7570898243195276,0.7570898243194021,,,,,42,42,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.3,all,0.7570898243195276,0.7570898243194021,,,,,42,42,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.3,no_landuse_attr,0.7570898243195276,0.7570898243194021,,,,,42,42,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.5,all,0.8221976719599187,0.8221976719597175,,,,,42,42,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,capture_0.5,no_landuse_attr,0.8221976719599187,0.8221976719597175,,,,,42,42,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,observed-label_auc,all,0.8465580715080024,0.8465580715079035,0.4693146873183666,0.469314687318223,0.9798388788593764,0.979838878859376,3,3,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,observed-label_auc,no_landuse_attr,0.8465580715080024,0.8465580715079035,0.4693146873183666,0.469314687318223,0.9798388788593764,0.979838878859376,3,3,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,observed-label_auc_diff,all,0.0055121649544477,0.0055121649544173,-0.0221908580663753,-0.0221908580663842,0.0297714197351282,0.0297714197349846,3,3,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2023-08-10,observed-label_auc_diff,no_landuse_attr,0.0055121649544477,0.0055121649544173,-0.0221908580663753,-0.0221908580663842,0.0297714197351282,0.0297714197349846,3,3,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,capture_0.2,all,0.1779130560900791,0.1779130560898513,,,,,23,23,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,capture_0.2,no_landuse_attr,0.1779130560900791,0.1779130560898513,,,,,23,23,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,capture_0.3,all,0.3157149219373088,0.3157149219370275,,,,,23,23,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,capture_0.3,no_landuse_attr,0.3157149219373088,0.3157149219370275,,,,,23,23,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,capture_0.5,all,0.8593770867393031,0.859377086739296,,,,,23,23,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,capture_0.5,no_landuse_attr,0.8593770867393031,0.859377086739296,,,,,23,23,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,observed-label_auc,all,0.6338848768805184,0.6338848768804336,0.5133560714019402,0.5133560714019588,0.7814609400697899,0.7814609400697381,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,observed-label_auc,no_landuse_attr,0.6338848768805184,0.6338848768804336,0.5133560714019402,0.5133560714019588,0.7814609400697899,0.7814609400697381,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,observed-label_auc_diff,all,-0.1009042515877839,-0.1009042515877505,-0.1283536743505127,-0.1283536743505049,-0.0295915035288753,-0.0295915035288228,5,5,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-07-24,observed-label_auc_diff,no_landuse_attr,-0.1009042515877839,-0.1009042515877505,-0.1283536743505127,-0.1283536743505049,-0.0295915035288753,-0.0295915035288228,5,5,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.05,all,0.0050219216343966,0.0050219216343971,,,,,1612,1612,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.05,no_landuse_attr,0.6348406985521002,0.6348406985520182,,,,,34,34,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.05,urban,0.6415428652072791,0.6415428652074251,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.1,all,0.0077923784874142,0.0077923784874147,,,,,1612,1612,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.1,no_landuse_attr,0.8389662106746502,0.8389662106745198,,,,,34,34,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.1,urban,0.7171237572838169,0.7171237572840118,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.2,agricultural,0.0354245834777039,0.0354245834777029,,,,,1506,1506,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.2,all,0.0418674124784714,0.0418674124784709,,,,,1612,1612,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.2,no_landuse_attr,0.8466059661061686,0.846605966106037,,,,,34,34,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.2,urban,0.8657314392435159,0.8657314392436495,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.3,agricultural,0.0756832840784549,0.075683284078456,,,,,1506,1506,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.3,all,0.0822070828831723,0.0822070828831736,,,,,1612,1612,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.3,no_landuse_attr,0.8891033482759337,0.8891033482757946,,,,,34,34,20,20,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.3,urban,0.9339891792137656,0.9339891792137712,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.5,agricultural,0.2358339848569782,0.2358339848569894,,,,,1506,1506,119,119,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.5,all,0.2417577184011217,0.2417577184011335,,,,,1612,1612,196,196,pre_registered,pre_registered,False,False,True,True,both
L1,area,ALL,2024-09-20,capture_0.5,urban,0.959175626645464,0.9591756266454672,,,,,72,72,57,57,pre_registered,pre_registered,False,False,True,True,both
