adm_cd,adm_name,gu_name,adm_cd_mois,adm_nm_full
38111110,동읍,의창구,4812125000,경상남도 창원시의창구 동읍
38111310,북면,의창구,4812131000,경상남도 창원시의창구 북면
38111320,대산면,의창구,4812132000,경상남도 창원시의창구 대산면
38111510,의창동,의창구,4812151000,경상남도 창원시의창구 의창동
38111520,팔룡동,의창구,4812152000,경상남도 창원시의창구 팔룡동
38111530,명곡동,의창구,4812153000,경상남도 창원시의창구 명곡동
38111540,봉림동,의창구,4812154000,경상남도 창원시의창구 봉림동
38112510,반송동,성산구,4812351000,경상남도 창원시성산구 반송동
38112520,중앙동,성산구,4812352000,경상남도 창원시성산구 중앙동
38112530,상남동,성산구,4812353000,경상남도 창원시성산구 상남동
38112540,사파동,성산구,4812354000,경상남도 창원시성산구 사파동
38112550,가음정동,성산구,4812355000,경상남도 창원시성산구 가음정동
38112560,성주동,성산구,4812356000,경상남도 창원시성산구 성주동
38112570,웅남동,성산구,4812357000,경상남도 창원시성산구 웅남동
38112580,용지동,성산구,4812351500,경상남도 창원시성산구 용지동
38113310,구산면,마산합포구,4812531000,경상남도 창원시마산합포구 구산면
38113320,진동면,마산합포구,4812532000,경상남도 창원시마산합포구 진동면
38113330,진북면,마산합포구,4812533000,경상남도 창원시마산합포구 진북면
38113340,진전면,마산합포구,4812534000,경상남도 창원시마산합포구 진전면
38113510,현동,마산합포구,4812551000,경상남도 창원시마산합포구 현동
38113520,가포동,마산합포구,4812552000,경상남도 창원시마산합포구 가포동
38113530,월영동,마산합포구,4812553000,경상남도 창원시마산합포구 월영동
38113540,문화동,마산합포구,4812554000,경상남도 창원시마산합포구 문화동
38113570,완월동,마산합포구,4812557000,경상남도 창원시마산합포구 완월동
38113580,자산동,마산합포구,4812558000,경상남도 창원시마산합포구 자산동
38113640,합포동,마산합포구,4812564000,경상남도 창원시마산합포구 합포동
38113650,산호동,마산합포구,4812565000,경상남도 창원시마산합포구 산호동
38113660,반월중앙동,마산합포구,4812556500,경상남도 창원시마산합포구 반월중앙동
38113670,오동동,마산합포구,4812563000,경상남도 창원시마산합포구 오동동
38113680,교방동,마산합포구,4812561000,경상남도 창원시마산합포구 교방동
38114110,내서읍,마산회원구,4812725000,경상남도 창원시마산회원구 내서읍
38114510,회원1동,마산회원구,4812751000,경상남도 창원시마산회원구 회원1동
38114520,회원2동,마산회원구,4812752000,경상남도 창원시마산회원구 회원2동
38114550,회성동,마산회원구,4812755000,경상남도 창원시마산회원구 회성동
38114560,양덕1동,마산회원구,4812756000,경상남도 창원시마산회원구 양덕1동
38114570,양덕2동,마산회원구,4812757000,경상남도 창원시마산회원구 양덕2동
38114580,합성1동,마산회원구,4812758000,경상남도 창원시마산회원구 합성1동
38114590,합성2동,마산회원구,4812759000,경상남도 창원시마산회원구 합성2동
38114600,구암1동,마산회원구,4812760000,경상남도 창원시마산회원구 구암1동
38114610,구암2동,마산회원구,4812761000,경상남도 창원시마산회원구 구암2동
38114620,봉암동,마산회원구,4812762000,경상남도 창원시마산회원구 봉암동
38114630,석전동,마산회원구,4812754500,경상남도 창원시마산회원구 석전동
38115540,여좌동,진해구,4812954000,경상남도 창원시진해구 여좌동
38115550,태백동,진해구,4812955000,경상남도 창원시진해구 태백동
38115560,경화동,진해구,4812956000,경상남도 창원시진해구 경화동
38115570,병암동,진해구,4812957000,경상남도 창원시진해구 병암동
38115580,석동,진해구,4812958000,경상남도 창원시진해구 석동
38115590,이동,진해구,4812959000,경상남도 창원시진해구 이동
38115600,자은동,진해구,4812960000,경상남도 창원시진해구 자은동
38115610,덕산동,진해구,4812961000,경상남도 창원시진해구 덕산동
38115620,풍호동,진해구,4812962000,경상남도 창원시진해구 풍호동
38115630,웅천동,진해구,4812963000,경상남도 창원시진해구 웅천동
38115640,웅동1동,진해구,4812964000,경상남도 창원시진해구 웅동1동
38115650,웅동2동,진해구,4812965000,경상남도 창원시진해구 웅동2동
38115660,충무동,진해구,4812953000,경상남도 창원시진해구 충무동
