station_code,station_name,station_type,hint,lat,lon,source,reviewed,note
1,중앙동,rain,창원 성산구 중앙동 행정복지센터,35.2210690,128.6736648,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 중앙동 행정복지센터 대표점 근사; Kakao place 8531235; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 성산구 외동반림로 5 중앙동주민센터; 기존 지도 좌표와 3.4m 차이
2,국방연구소,rain,창원 국방연구소,35.2771648,128.7001678,네이버 Maps Geocoding,N,"실제 우량계·국방과학연구소 창원시험장 정확 위치 미공개; 자여마을 내 자여마을도서관(동읍 자여로 64)을 대리점으로 사용; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 동읍 자여로 64 동읍자여민원센터; 실제 관측지점이 아니므로 reviewed=N 유지; 강수 상관 검증(2026-09-07, rainfall_hourly 2015~2024 비 온 날 882일 일강수): 동읍 r=0.97·봉림동 0.94·팔용농산물 0.94·명곡동 0.94 순으로 의창구 북동부 지점과 가장 유사, 진해권(동부도서관 0.80) 최저 → 동읍 자여 근사점(동읍 지점까지 1.8km)이 데이터와 일치. 이전 진해 자은동 좌표는 폐기"
3,북면,rain,창원 의창구 북면 행정복지센터,35.3477816,128.6070384,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 북면 행정복지센터 대표점 근사; Kakao place 8390324; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 북면 천주로 1085 북면행정복지센터; 기존 지도 좌표와 0.3m 차이
4,명곡동,rain,창원 의창구 명곡동 행정복지센터,35.2538922,128.6402264,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 명곡동 행정복지센터 대표점 근사; Kakao place 18133333; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 태복산로15번길 8 명곡동행정복지센터; 기존 지도 좌표와 8.0m 차이
6,성산구청,rain,창원 성산구청,35.1983844,128.7029400,네이버 Maps Geocoding,Y,시설명·주소 일치; Kakao place 15577330; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 성산구 창원대로 1086 성산구청; 기존 지도 좌표와 14.1m 차이
7,웅남동,rain,창원 성산구 웅남동 행정복지센터,35.2053503,128.6271699,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 웅남동 행정복지센터 대표점 근사; Kakao place 8034895; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 성산구 신촌로 50 웅남동주민센터; 기존 지도 좌표와 10.3m 차이
10,회성동,rain,창원 마산회원구 회성동 행정복지센터,35.2330579,128.5616937,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 회성동 행정복지센터 대표점 근사; Kakao place 8165903; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산회원구 북성로 327 회성동행정복지센터; 기존 지도 좌표와 1.7m 차이
11,웅동1동,rain,창원 진해구 웅동1동 행정복지센터,35.1258956,128.7826923,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 웅동1동 행정복지센터 대표점 근사; Kakao place 8027128; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 진해구 웅동로57번가길 6 웅동1동행정복지센터; 기존 지도 좌표와 2.7m 차이
14,사파동,rain,창원 성산구 사파동 행정복지센터,35.2158429,128.7087119,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 사파동 행정복지센터 대표점 근사; Kakao place 10446952; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 성산구 대암로 109 사파동행정복지센터; 기존 지도 좌표와 5.6m 차이
15,태백동,rain,창원 진해구 태백동 행정복지센터,35.1538773,128.6773874,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 태백동 행정복지센터 대표점 근사; Kakao place 8108905; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 진해구 중초로9번길 38 태백동행정복지센터; 기존 지도 좌표와 0.7m 차이
