하천코드,하천명,제1지류명,제2지류명,하천구분명,하천지정근거명,하천지정연월,시점위치,종점위치,시점위치(위도),종점위치(위도),시점위치(경도),종점위치(경도),하천길이,하천계획홍수량,하천계획홍수위,하천계획하폭,관리기관명,관리기관전화번호,데이터기준일자
2026500,북천천,,,지방하천,,,경상남도 창원시 의창구 북면 상천리 1100-3,낙동강 합류지점,,,,,4.2,,,,경상남도,,2025-02-03
2026510,신천,,,지방하천,,,경상남도 창원시 의창구 북면 외감리 528,낙동강 합류지점,,,,,12.5,,,,경상남도,,2025-02-03
2026520,감계천,,,지방하천,,,경상남도 창원시 의창구 북면 감계리 산99,신천 합류지점,,,,,3.1,,,,경상남도,,2025-02-03
2026530,지개천,,,지방하천,,,경상남도 창원시 의창구 북면 지개리 688,신천 합류지점,,,,,4.2,,,,경상남도,,2025-02-03
2026540,월촌천,,,지방하천,,,경상남도 창원시 의창구 북면 월백리 1192,신천 합류지점,,,,,3,,,,경상남도,,2025-02-03
2026550,무곡천,,,지방하천,,,경상남도 창원시 의창구 북면 무곡리 415,신천 합류지점,,,,,2.5,,,,경상남도,,2025-02-03
2026560,내곡천,,,지방하천,,,경상남도 창원시 의창구 북면 내곡리 1322-6,신천 합류지점,,,,,4,,,,경상남도,,2025-02-03
2026570,금산천,,,지방하천,,,경상남도 창원시 의창구 동읍 봉곡리 100,낙동강 합류지점,,,,,5.3,,,,경상남도,,2025-02-03
2026760,죽동천,,,지방하천,,,경상남도 창원시 의창구 동읍 노연리 379-6,낙동강 합류지점,,,,,7.5,,,,경상남도,,2025-02-03
2026770,주천강,,,지방하천,,,경상남도 창원시 의창구 대산면 가술리 569-3,낙동강 합류지점,,,,,5,,,,경상남도,,2025-02-03
2026790,중앙천,,,지방하천,,,경상남도 창원시 의창구 동읍 용강리 361-22,주항천 합류지점,,,,,10,,,,경상남도,,2025-02-03
2720180,내동천,,,지방하천,,,경상남도 창원시 의창구 서상동 662-2,창원천 합류지점,,,,,5.2,,,,경상남도,,2025-02-03
2720190,소계천,,,지방하천,,,경상남도 창원시 의창구 소계동 793,내동천 합류지점,,,,,2.5,,,,경상남도,,2025-02-03
2720200,하남천,,,지방하천,,,경상남도 창원시 의창구 도계동 838-29,창원천 합류지점,,,,,3.1,,,,경상남도,,2025-02-03
2720210,봉림천,,,지방하천,,,경상남도 창원시 의창구 봉림동 584-2,창원천 합류지점,,,,,1.5,,,,경상남도,,2025-02-03
2026780,주항천,,,지방하천,,,경상남도 창원시 의창구 동읍 단계리 147-6,낙동강 합류지점,,,,,2.5,,,,경상남도,,2025-02-03
2720090,남천,,,지방하천,,,경상남도 창원시 성산구 천선동 563,창원천 합류지점,,,,,8.9,,,,경상남도,,2025-02-03
2720100,남산천,,,지방하천,,,경상남도 창원시 성산구 불모산동 576-19,남천 합류지점,,,,,4.5,,,,경상남도,,2025-02-03
2720110,가음정천,,,지방하천,,,경상남도 창원시 성산구 사파정동 산80,남천 합류지점,,,,,2.8,,,,경상남도,,2025-02-03
2720120,대방천,,,지방하천,,,경상남도 창원시 성산구 남산동 산 1-1,가음정천 합류지점,,,,,2.7,,,,경상남도,,2025-02-03
2720130,안민천,,,지방하천,,,경상남도 창원시 성산구 안민동 668-16,남천 합류지점,,,,,2,,,,경상남도,,2025-02-03
2720140,토월천,,,지방하천,,,경상남도 창원시 의창구 신월동 22,남천 합류지점,,,,,3,,,,경상남도,,2025-02-03
2720150,상복천,,,지방하천,,,경상남도 창원시 상복동 산 68-8,남천 합류지점,,,,,2,,,,경상남도,,2025-02-03
2720160,완암천,,,지방하천,,,경상남도 창원시 성산구 완암동 327-25,남천 합류지점,,,,,1.4,,,,경상남도,,2025-02-03
2720220,양곡천,,,지방하천,,,경상남도 창원시 성산구 양곡동 1127,남천 합류지점,,,,,5,,,,경상남도,,2025-02-03
2720270,교방천,,,지방하천,,,경상남도 창원시 마산합포구 교방동 384-1,회원천 합류지점,,,,,2.8,,,,경상남도,,2025-02-03
2720280,장군천,,,지방하천,,,경상남도 창원시 마산합포구 완월동 538-18,마산만 방류,,,,,2.5,,,,경상남도,,2025-02-03
2720290,우산천,,,지방하천,,,경상남도 창원시 마산합포구 예곡동 915-1,마산만 방류,,,,,7.3,,,,경상남도,,2025-02-03
2720300,수정천,,,지방하천,,,경상남도 창원시 마산합포구 구산면 수정리 1107-3,마산만 방류,,,,,2,,,,경상남도,,2025-02-03
2720310,석곡천,,,지방하천,,,경상남도 창원시 마산합포구 구산면 석곡리 315,마산만 방류,,,,,2.5,,,,경상남도,,2025-02-03
2720320,태봉천,,,지방하천,,,경상남도 창원시 마산합포구 진동면 동전리 433-2,마산만 방류,,,,,6.5,,,,경상남도,,2025-02-03
2720330,덕곡천,,,지방하천,,,경상남도 창원시 마산합포구 진북면 금산리 228-4,진동천 합류지점,,,,,7.5,,,,경상남도,,2025-02-03
2720340,인곡천,,,지방하천,,,경상남도 창원시 마산합포구 진북면 인곡리 산216-2,진동천 합류지점,,,,,6.2,,,,경상남도,,2025-02-03
2720350,진동천,,,지방하천,,,경상남도 창원시 마산합포구 진북면 정현리 459-2,마산만 방류,,,,,7,,,,경상남도,,2025-02-03
2720360,근곡천,,,지방하천,,,경상남도 창원시 마산합포구 진전면 근곡리 186,마산만 방류,,,,,2,,,,경상남도,,2025-02-03
2720370,진전천,,,지방하천,,,경상남도 창원시 마산합포구 진전면 여양리 343-1,마산만 방류,,,,,17.3,,,,경상남도,,2025-02-03
2720380,평암천,,,지방하천,,,경상남도 창원시 마산합포구 진전면 평암리 396-1,진전천 합류지점,,,,,4.3,,,,경상남도,,2025-02-03
2720390,중촌천,,,지방하천,,,경상남도 창원시 마산합포구 진전면 금암리 53,진전천 합류지점,,,,,2.5,,,,경상남도,,2025-02-03
