시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자
팔용배수장,경상남도,창원시,경상남도 창원시 의창구 차룡단지로 208 (팔용동),경상남도 창원시 의창구 팔용동 56-7,35.23687115,128.6333784,055-212-4655,1999,재난대비,2026-07-31
구항 배수펌프장,경상남도,창원시,경상남도 창원시 마산합포구 제2부두로 63 (신포동1가),경상남도 창원시 마산합포구 신포동1가 74-1,35.19835062,128.5754013,055-247-2543,2007,재난대비,2026-07-31
서항 제1배수펌프장,경상남도,창원시,경상남도 창원시 마산합포구 드림베이대로 3 (해운동),경상남도 창원시 마산합포구 해운동 56,35.18146917,128.5657539,055-247-2543,2020,재난대비,2026-07-31
서항 제2배수펌프장,경상남도,창원시,경상남도 창원시 마산합포구 드림베이대로 33 (해운동),경상남도 창원시 마산합포구 해운동 56-3,35.17919318,128.5670854,055-247-2543,2020,재난대비,2026-07-31
가포배수펌프장,경상남도,창원시,,경상남도 창원시 마산합포구 가포동 687,35.16842917,128.5726502,055-247-2543,2015,재난대비,2026-07-31
양덕배수장,경상남도,창원시,경상남도 창원시 마산회원구 봉암공단1길 34 (봉암동),경상남도 창원시 마산회원구 봉암동 473,35.21919278,128.5952993,055-230-4657,1985,침수방지 우수배제,2026-07-31
호계배수장,경상남도,창원시,,경상남도 창원시 마산회원구 내서읍 호계리 2-1,35.26675198,128.5283383,055-230-4657,2013,침수방지 우수배제,2026-07-31
남천배수펌프장,경상남도,창원시,,경상남도 창원시 성산구 신촌동 86,35.2144752,128.6355372,055-272-4655,2008,신촌/양곡 일원 침수 방지,2026-07-31
용원배수펌프장,경상남도,창원시,,경상남도 창원시 진해구 용원동 1111-12,35.09168029,128.8172917,055-548-4656,2005,방재 목적,2026-07-31
용원2배수펌프장,경상남도,창원시,경상남도 창원시 진해구 용원로 116-1,경상남도 창원시 진해구 용원동 1125-13,35.09791703,128.8216385,055-548-4656,2020,방재 목적,2026-07-31
장천배수펌프장,경상남도,창원시,,경상남도 창원시 진해구 장천동 782-36,35.13381207,128.6987139,055-548-4656,2014,방재 목적,2026-07-31
병암배수펌프장,경상남도,창원시,경상남도 창원시 진해구 충장로364번나길 32,경상남도 창원시 진해구 이동 552-10,35.1514432,128.6908473,055-548-4656,2007,방재 목적,2026-07-31
영길배수펌프장,경상남도,창원시,,경상남도 창원시 진해구 남양동 369,35.11492432,128.7831558,055-548-4656,2012,방재 목적,2026-07-31
영길2배수펌프장,경상남도,창원시,,경상남도 창원시 진해구 남양동 320-21,35.11515041,128.7810672,055-548-4656,2012,방재 목적,2026-07-31
가주동 소형펌프장,경상남도,창원시,,경상남도 창원시 진해구 가주동 146-27,35.10459852,128.838482,055-548-4656,2022,방재 목적,2026-07-31
