시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자,제공기관코드,제공기관명
행신배수펌프장,경기도,고양시,경기도 고양시 덕양구 서정마을로 12,경기도 고양시 덕양구 행신동 1072,37.61801404,126.8478314,031-8075-3032,2007,침수방지,2026-05-22,3940000,경기도 고양시
도내배수펌프장,경기도,고양시,경기도 고양시 덕양구 중앙로 299-36,경기도 고양시 덕양구 도내동 916,37.60992415,126.8570171,031-8075-3028,1998,침수방지,2026-05-22,3940000,경기도 고양시
현천배수펌프장,경기도,고양시,경기도 고양시 덕양구 해포길 170,경기도 고양시 덕양구 현천동 534-1,37.59846162,126.8493498,031-8075-3031,1998,침수방지,2026-05-22,3940000,경기도 고양시
강매배수펌프장,경기도,고양시,경기도 고양시 덕양구 강매로 103,경기도 고양시 덕양구 강매동 290-2,37.59823255,126.8429052,031-8075-3025,2000,침수방지,2026-05-22,3940000,경기도 고양시
"신평1,2배수펌프장",경기도,고양시,경기도 고양시 덕양구 신평길 107,경기도 고양시 덕양구 신평동 25-2,37.62186369,126.7943554,031-8075-3030,2019,침수방지,2026-05-22,3940000,경기도 고양시
"대화1,2배수펌프장",경기도,고양시,경기도 고양시 일산서구 멱절길 72,경기도 고양시 일산서구 법곳동 740-11,37.65730766,126.7306428,031-8075-3027,2015,침수방지,2026-05-22,3940000,경기도 고양시
송포배수펌프장,경기도,고양시,경기도 고양시 일산서구 이산포길 132,경기도 고양시 일산서구 법곳동 1563,37.66231981,126.7147388,031-8075-3029,2001,침수방지,2026-05-22,3940000,경기도 고양시
구산배수펌프장,경기도,고양시,경기도 고양시 일산서구 이산포길 664,경기도 고양시 일산서구 구산동 672-8,37.69528528,126.6831067,031-8075-3026,1990,침수방지,2026-05-22,3940000,경기도 고양시
청평배수펌프장,경기도,가평군,경기도 가평군 청평면 강변로 17,경기도 가평군 청평면 청평리 619-39번지,37.73476149,127.4144395,,1997,도시침수방지,2026-05-26,4160000,경기도 가평군
가평배수펌프장,경기도,가평군,경기도 가평군 가평읍 가평제방길 97,경기도 가평군 가평읍 대곡리 11번지,37.82396267,127.5178095,,1995,도시침수방지,2026-05-26,4160000,경기도 가평군
길정천 배수펌프장,인천광역시,강화군,인천광역시 강화군 길상면 해안남로 779-34,인천광역시 강화군 길상면 선두리 1210-1,37.60432424,126.4772714,032-930-3697,2009,농경지 침수 예방,2026-05-20,3570000,인천광역시 강화군
석관빗물펌프장,서울특별시,성북구,서울특별시 성북구 한천로66길 203,서울특별시 성북구 석관동 134-2,37.61347394,127.0654917,02-2241-6371,2002,침수방지,2026-06-08,3070000,서울특별시 성북구
장위빗물펌프장,서울특별시,성북구,서울특별시 성북구 한천로 724,서울특별시 성북구 장위동 270-1,37.61881681,127.0558742,02-2241-6376,2004,침수방지,2026-06-08,3070000,서울특별시 성북구
내비산빗물펌프시설,경기도,안양시,안양시 안양시 동안구 경수대로868번길 16,경기도 안양시 동안구 비산동1116번지,37.4009894,126.950136,,2025,침수예방,2026-05-31,3830000,경기도 안양시
세전배수펌프장,전북특별자치도,남원시,전북특별자치도 남원시 송동면 노송로 150-151,전북특별자치도 남원시 송동면 세전리 1401-28,35.31088901,127.3223166,063-620-6388,2003,재해예방,2026-06-24,4701000,전북특별자치도 남원시
용산배수펌프장,전북특별자치도,남원시,,전북특별자치도 남원시 덕과면 용산리 1063-6,35.55037026,127.3442497,063-620-6463,2020,재해예방,2026-06-24,4701000,전북특별자치도 남원시
석수빗물배수펌프시설,경기도,안양시,,경기도 안양시 만안구 석수동 438-2,37.43049793,126.898947,,2018,침수예방,2026-05-31,3830000,경기도 안양시
박달빗물배수펌프장,경기도,안양시,경기도 안양시 만안구 양화로135번길 88,경기도 안양시 만안구 박달동 838-7,37.405076,126.9046523,,2003,침수예방,2026-05-31,3830000,경기도 안양시
연현빗물배수펌프장,경기도,안양시,"경기도 안양시 만안구 연현로 128,(석수동)",경기도 안양시 만안구 석수동 358-2,37.435656,126.9017482,,2000,침수예방,2026-05-31,3830000,경기도 안양시
덕천빗물배수펌프장(전기동),경기도,안양시,경기도 안양시 만안구 안양천서로 190,경기도 안양시 만안구 안양동 250,37.38893225,126.9410053,,2022,침수예방,2026-05-31,3830000,경기도 안양시
덕천빗물배수펌프장,경기도,안양시,경기도 안양시 만안구 안양천서로 190,경기도 안양시 만안구 안양동 250,37.38893225,126.9410053,,2000,침수예방,2026-05-31,3830000,경기도 안양시
