gu_name,adm_name,R5,R4,R3,R2,R1,격자수,인구,고령추정
성산구,사파동,45,78,28,23,17,191,43249,5543.0
성산구,가음정동,45,46,11,13,9,124,36631,4148.0
마산합포구,월영동,41,53,21,20,9,144,42398,7213.0
성산구,성주동,35,31,42,31,36,175,26564,2482.0
진해구,경화동,30,27,19,8,0,84,10144,2497.0
성산구,상남동,30,15,10,8,21,84,25753,2926.0
진해구,충무동,29,44,42,18,24,157,15551,3641.0
진해구,자은동,24,42,15,20,6,107,19785,3163.0
진해구,풍호동,24,39,51,19,2,135,24092,3597.0
마산회원구,양덕2동,24,38,21,10,3,96,32006,5435.0
마산회원구,내서읍,23,59,103,145,228,558,60342,10548.0
진해구,여좌동,21,35,24,22,5,107,7559,2777.0
마산합포구,오동동,20,48,46,35,5,154,17800,6009.0
마산합포구,현동,20,33,75,57,7,192,14096,3032.0
진해구,이동,19,25,33,5,0,82,8348,2377.0
진해구,병암동,17,21,6,7,2,53,6892,1693.0
마산합포구,반월중앙동,16,18,24,13,3,74,12660,3849.0
진해구,덕산동,15,19,22,6,0,62,9165,1732.0
마산회원구,합성1동,14,36,8,11,0,69,8610,2337.0
마산합포구,가포동,13,7,5,21,9,55,5143,1101.0
의창구,북면,12,51,110,352,322,847,43106,7289.0
마산회원구,양덕1동,12,25,12,5,1,55,10099,2917.0
성산구,웅남동,12,24,34,23,89,182,8928,1480.0
성산구,중앙동,10,32,83,53,32,210,39299,4112.0
진해구,태백동,10,17,15,7,1,50,3586,1431.0
마산합포구,산호동,9,37,15,10,4,75,11174,3235.0
진해구,석동,8,28,32,23,10,101,16258,2502.0
마산합포구,완월동,8,23,18,22,3,74,8563,2937.0
성산구,용지동,7,59,64,20,15,165,25829,3543.0
마산합포구,교방동,7,44,35,8,6,100,18314,4052.0
마산회원구,구암1동,7,31,12,10,4,64,8114,2521.0
의창구,명곡동,6,57,108,54,30,255,38454,6859.0
의창구,봉림동,6,43,130,48,57,284,31870,6404.0
마산합포구,문화동,6,20,33,17,3,79,10531,2972.0
성산구,반송동,5,55,60,15,8,143,38296,5622.0
마산회원구,회원2동,5,28,18,16,12,79,9777,2841.0
마산회원구,회원1동,5,26,20,7,5,63,9059,3415.0
마산합포구,합포동,5,16,17,7,4,49,6237,1818.0
진해구,웅천동,4,29,76,73,22,204,14006,2245.0
마산합포구,자산동,4,24,12,8,7,55,8678,2855.0
마산합포구,진동면,4,15,86,191,102,398,12049,3362.0
의창구,의창동,3,39,91,63,53,249,47843,7707.0
마산회원구,석전동,3,23,41,26,14,107,15499,4122.0
진해구,웅동1동,3,16,30,81,78,208,8683,1939.0
마산합포구,진전면,2,43,201,274,36,556,4445,2311.0
마산회원구,합성2동,2,23,19,7,9,60,8585,2270.0
진해구,웅동2동,1,29,98,109,66,303,45538,5259.0
의창구,팔룡동,1,18,36,72,57,184,25819,3186.0
마산합포구,구산면,1,14,137,253,16,421,4340,2013.0
마산회원구,회성동,1,13,39,45,10,108,5262,2044.0
의창구,동읍,1,8,46,282,375,712,18738,5065.0
마산회원구,구암2동,0,15,19,8,9,51,8604,2178.0
마산합포구,진북면,0,10,107,208,82,407,4063,1604.0
마산회원구,봉암동,0,10,16,47,20,93,4058,960.0
의창구,대산면,0,2,48,201,257,508,7335,2610.0
