rank,grid_id,district,neighborhood,cdri,grade_code,in_robust_core,primary_cause,h_shap,e_shap,v_shap,d_shap,baseline,reconstructed,xai_main_positive
1,라마982027,의창구,북면,1.0,R5,0,D,0.02665495493359199,0.34543748063284135,0.10087524100518759,0.15786621604485435,0.36916610738352446,0.9999999999999998,E
2,마라095835,진해구,덕산동,0.9817553875805437,R5,1,E,0.11614407456679547,0.388720200060271,0.02120548501220845,0.08651952055774431,0.36916610738352446,0.9817553875805436,E
3,라라912924,마산회원구,내서읍,0.9677892557153809,R5,1,V,0.033688573564923475,0.38638159230738217,0.17932279832180345,-0.0007698158622528918,0.36916610738352446,0.9677892557153807,E
4,라라987907,마산합포구,합포동,0.9579820400913938,R5,1,E,0.10906976676339722,0.384451518825584,0.04938404225231568,0.04591060486657242,0.36916610738352446,0.9579820400913936,E
5,라라975917,마산회원구,회원1동,0.9537830885850858,R5,1,H,0.12862059094949538,0.38420793312989543,0.10117766200153926,-0.029389204879368795,0.36916610738352446,0.9537830885850858,E
6,마라096829,진해구,풍호동,0.9507820499496349,R5,1,H,0.13501776314694353,0.3835921117952634,0.01046995005402604,0.05253611756987741,0.36916610738352446,0.9507820499496349,E
7,마라101837,진해구,덕산동,0.9405839792932608,R5,0,E,0.0864244401867278,0.3546134954009265,0.06370774197766985,0.06667219434441235,0.36916610738352446,0.9405839792932609,E
8,마라096912,성산구,가음정동,0.9353382888508431,R5,1,E,0.099160742223659,0.3804851840369599,0.042917342171444856,0.043608913035254895,0.36916610738352446,0.9353382888508432,E
9,마라108851,진해구,자은동,0.9350803799998905,R5,0,E,0.070715582586766,0.36835425651686327,0.06127910062436179,0.06556533288837496,0.36916610738352446,0.9350803799998906,E
10,마라110795,진해구,웅천동,0.924314856987379,R5,0,D,-0.0066619863293918965,0.28729605158617777,0.07739624684020488,0.19711843750686403,0.36916610738352446,0.9243148569873791,E
11,라마981030,의창구,북면,0.9218584130750199,R5,0,E,0.04357911186859541,0.3213977639803026,0.06770574227754127,0.12000968756505587,0.36916610738352446,0.9218584130750196,E
12,마라065835,진해구,충무동,0.917738784246038,R5,0,E,0.06126461555712453,0.3207096617907519,0.062487850255192635,0.1041105492594443,0.36916610738352446,0.9177387842460378,E
13,마라087849,진해구,이동,0.917009330544735,R5,0,H,0.14385183057182743,0.37789641996888357,0.028390704327858896,-0.002295731707359583,0.36916610738352446,0.9170093305447347,E
14,라라965841,마산합포구,현동,0.9123844939643202,R5,0,V,0.02805374636420674,0.27722346526922576,0.12668567453227073,0.11125550041509251,0.36916610738352446,0.9123844939643202,E
15,마라075856,진해구,경화동,0.9068225601865537,R5,0,H,0.09597617848248766,0.3133079279089752,0.014146957798800486,0.1142253886127657,0.36916610738352446,0.9068225601865534,E
16,마라067838,진해구,충무동,0.904070053452361,R5,0,E,0.03616768947060672,0.37481558918571367,0.03984416637514633,0.08407650103737005,0.36916610738352446,0.9040700534523611,E
17,라라988929,마산회원구,양덕2동,0.9032103236041185,R5,0,H,0.1444029171506936,0.37555321018264887,0.020903345617455594,-0.006815256730204056,0.36916610738352446,0.9032103236041182,E
18,라마987028,의창구,북면,0.8943076824706367,R5,0,D,-0.043452598688130006,0.3313692166625988,0.06706849771760798,0.17015645939503554,0.36916610738352446,0.8943076824706366,E
19,라라982902,마산합포구,오동동,0.8936528378896351,R5,0,E,0.07558753943414892,0.36725193938951384,0.055738574546192465,0.0259086771362552,0.36916610738352446,0.8936528378896349,E
20,라라971874,마산합포구,월영동,0.8926308351589524,R5,0,E,0.10152060386840506,0.37321056928720386,0.007497373650893959,0.041236180968924965,0.36916610738352446,0.8926308351589523,E
